dt64,lic_result
2017-03-28,
2017-03-29,23.446633379375513
2017-03-30,20.739149969558692
2017-03-31,18.076582802683188
2017-04-01,15.541061055447827
2017-04-02,13.087668484911285
2017-04-03,10.827406433540391
2017-04-04,8.67814572463633
2017-04-05,6.779759866433949
2017-04-06,5.021247516466418
2017-04-07,3.200553742161904
2017-04-08,1.6325777204585024
2017-04-09,0.5966079982191288
2017-04-10,0.2680514821079746
2017-04-11,0.22632349397326798
2017-04-12,0.19213548695209381
2017-04-13,0.19213548695209381
2017-04-14,0.19213548695209381
2017-04-15,0.19213548695209381
2017-04-16,0.19213548695209381
2017-04-17,0.19213548695209381
2017-04-18,0.19213548695209381
2017-04-19,0.19213548695209381
2017-04-20,0.19213548695209381
2017-04-21,0.19213548695209381
2017-04-22,0.17439233251773745
2017-04-23,0.15485127862441825
2017-04-24,0.1112317006864411
2017-04-25,0.08535527718282028
2017-04-26,0.08715317664178314
2017-04-27,0.16386250166977015
2017-04-28,0.2405718266977572
2017-04-29,0.29140472822212343
2017-04-30,0.29140472822212343
2017-05-01,0.29140472822212343
2017-05-02,0.24342594490105895
2017-05-03,0.16671661987307193
2017-05-04,0.09000729484508489
2017-05-05,0.05550087217614458
2017-05-06,0.046108128922577436
2017-05-07,0.036467966858502156
2017-05-08,0.030551935993914328
2017-05-09,0.02496131350163827
2017-05-10,0.016888672591781072
2017-05-11,0.010867781444454194
2017-05-12,0.008138344216364913
2017-05-13,0.008138344216364913
2017-05-14,0.008138344216364913
2017-05-15,0.006781953513637427
2017-05-16,0.004129676973561377
2017-05-17,0.0014242526274493605
2017-05-18,7.25989001385121e-05
2017-05-19,1.2094034759591755e-05
2017-05-20,4.736975416637161e-06
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,0.0
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-24,0.0
2017-06-25,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-07-01,0.0
2017-07-02,0.0
2017-07-03,0.0
2017-07-04,0.0
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-08,0.0
2017-07-09,0.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-15,0.0
2017-07-16,0.0
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,0.0
2017-08-01,0.0
2017-08-02,0.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-19,3.401675455808245e-23
2017-08-20,3.401675455808245e-23
2017-08-21,3.401675455808245e-23
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,2.491931972460251e-22
2017-08-26,2.491931972460251e-22
2017-08-27,2.491931972460251e-22
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,6.030662185925038e-20
2017-08-31,1.9415431876831729e-19
2017-09-01,3.280020156773842e-19
2017-09-02,2.676953938181338e-19
2017-09-03,1.338476969090669e-19
2017-09-04,0.0
2017-09-05,1.105644559626835e-18
2017-09-06,3.345338735348597e-18
2017-09-07,5.58503291107036e-18
2017-09-08,4.479388351443524e-18
2017-09-09,2.239694175721762e-18
2017-09-10,0.0
2017-09-11,0.0
2017-09-12,0.0
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,0.0
2017-09-16,0.0
2017-09-17,0.0
2017-09-18,0.0
2017-09-19,0.0
2017-09-20,0.0
2017-09-21,0.0
2017-09-22,0.0
2017-09-23,0.0
2017-09-24,0.0
2017-09-25,0.0
2017-09-26,0.0
2017-09-27,0.0
2017-09-28,0.0
2017-09-29,0.0
2017-09-30,0.0
2017-10-01,0.0
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,0.0
2017-10-10,0.0
2017-10-11,0.0
2017-10-12,0.0
2017-10-13,0.0
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,0.0
2017-10-20,0.0
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,0.0
2017-10-26,0.0
2017-10-27,0.0
2017-10-28,0.0
2017-10-29,0.0
2017-10-30,0.0
2017-10-31,0.0
2017-11-01,0.0
2017-11-02,1.808110727530087e-05
2017-11-03,0.007444047996519849
2017-11-04,0.02806925116495576
2017-11-05,0.06613523957610783
2017-11-06,0.11699819930693554
2017-11-07,0.17609913129272345
2017-11-08,0.2388971175760315
2017-11-09,0.3008512401994195
2017-11-10,0.3574205812054474
2017-11-11,0.3936852575988616
2017-11-12,0.41058894055055095
2017-11-13,0.4218191616232623
2017-11-14,0.4341373939976714
2017-11-15,0.44941073494496947
2017-11-16,0.5416824550941647
2017-11-17,0.8543281852139213
2017-11-18,1.4988776977775993
2017-11-19,2.496337392417536
2017-11-20,3.81008299295495
2017-11-21,5.418763564158357
2017-11-22,7.301028170796273
2017-11-23,9.435525877637215
2017-11-24,11.800905749449697
2017-11-25,14.375816851002236
2017-11-26,17.138908247063352
2017-11-27,20.068829002401554
2017-11-28,23.144228181785365
2017-11-29,26.3437548499833
2017-11-30,29.64605807176387
2017-12-01,33.0297869118956
2017-12-02,36.473590435146996
2017-12-03,39.956117706286584
2017-12-04,43.456017790082875
2017-12-05,46.95193975130439
2017-12-06,50.42253265471962
2017-12-07,53.8464455650971
2017-12-08,57.20232754720536
2017-12-09,60.46882766581291
2017-12-10,63.624594985688255
2017-12-11,66.64827857159992
2017-12-12,69.51852748831642
2017-12-13,72.21399080060627
2017-12-14,74.71331757323799
2017-12-15,76.99515687098007
2017-12-16,79.03815775860103
2017-12-17,80.82096930086944
2017-12-18,82.32224056255376
2017-12-19,83.52062060842253
