dt64,lic_result
2017-04-03,
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,5.700911455358161e-10
2017-04-20,1.143389766379211e-08
2017-04-21,3.713081305793378e-08
2017-04-22,8.093182078914441e-08
2017-04-23,1.3682614348604913e-07
2017-04-24,2.0385900675038312e-07
2017-04-25,2.8164572732941757e-07
2017-04-26,3.698016219704235e-07
2017-04-27,4.6794200742067195e-07
2017-04-28,5.756822004274341e-07
2017-04-29,6.926375177379808e-07
2017-04-30,8.184232760995832e-07
2017-05-01,9.526547922595124e-07
2017-05-02,1.0949473829650393e-06
2017-05-03,1.2449163649634352e-06
2017-05-04,1.4021770550019715e-06
2017-05-05,1.5663447698279186e-06
2017-05-06,1.737034826188548e-06
2017-05-07,1.91386254083113e-06
2017-05-08,2.0964432305029367e-06
2017-05-09,2.284392211951239e-06
2017-05-10,2.4773248019233075e-06
2017-05-11,2.6748563171664134e-06
2017-05-12,2.8766020744278273e-06
2017-05-13,3.082177390454822e-06
2017-05-14,3.2911975819946665e-06
2017-05-15,3.503277965794633e-06
2017-05-16,3.7180338586019923e-06
2017-05-17,3.935080577164015e-06
2017-05-18,4.154033438227973e-06
2017-05-19,4.374507758541137e-06
2017-05-20,4.5961188548507784e-06
2017-05-21,4.818482043904169e-06
2017-05-22,5.041212642448577e-06
2017-05-23,5.263925967231274e-06
2017-05-24,5.486237334999534e-06
2017-05-25,5.7077620625006266e-06
2017-05-26,5.928115466481823e-06
2017-05-27,6.146912863690392e-06
2017-05-28,6.363769570873609e-06
2017-05-29,6.578300904778741e-06
2017-05-30,6.790122182153061e-06
2017-05-31,6.998848719743841e-06
2017-06-01,7.20409583429835e-06
2017-06-02,7.40547884256386e-06
2017-06-03,7.602613061287641e-06
2017-06-04,7.795113807216967e-06
2017-06-05,7.982596397099105e-06
2017-06-06,8.16467614768133e-06
2017-06-07,8.340968375710911e-06
2017-06-08,8.51108839793512e-06
2017-06-09,8.674651531101226e-06
2017-06-10,8.831273091956501e-06
2017-06-11,8.980568397248218e-06
2017-06-12,9.122152763723646e-06
2017-06-13,9.255641508130056e-06
2017-06-14,9.38064994721472e-06
2017-06-15,9.49679339772491e-06
2017-06-16,9.603687176407893e-06
2017-06-17,9.700946600010946e-06
2017-06-18,9.788186985281337e-06
2017-06-19,9.859614410393312e-06
2017-06-20,9.901918964498187e-06
2017-06-21,9.918568554791094e-06
2017-06-22,9.918568554791094e-06
2017-06-23,9.918568554791094e-06
2017-06-24,9.918568554791094e-06
2017-06-25,9.918568554791094e-06
2017-06-26,9.918568554791094e-06
2017-06-27,9.918568554791094e-06
2017-06-28,9.918568554791094e-06
2017-06-29,9.918568554791094e-06
2017-06-30,9.892606867690548e-06
2017-07-01,9.835548625532499e-06
2017-07-02,9.742130732609084e-06
2017-07-03,9.63292355256207e-06
2017-07-04,9.507542402138734e-06
2017-07-05,9.365602598086343e-06
2017-07-06,9.206719457152167e-06
2017-07-07,9.030508296083483e-06
2017-07-08,8.836584431627558e-06
2017-07-09,8.624563180531663e-06
2017-07-10,8.39405985954307e-06
2017-07-11,8.144689785409046e-06
2017-07-12,7.87606827487687e-06
2017-07-13,7.587810644693805e-06
2017-07-14,7.279532211607127e-06
2017-07-15,6.950848292364107e-06
2017-07-16,6.601374203712014e-06
2017-07-17,6.230725262398118e-06
2017-07-18,5.838516785169694e-06
2017-07-19,5.424364088774012e-06
2017-07-20,4.98788248995834e-06
2017-07-21,4.528687305469953e-06
2017-07-22,4.046393852056119e-06
2017-07-23,3.540617446464112e-06
2017-07-24,3.1955627827597448e-06
2017-07-25,3.019057511669077e-06
2017-07-26,3.019057511669077e-06
2017-07-27,3.019057511669077e-06
2017-07-28,3.019057511669077e-06
2017-07-29,3.019057511669077e-06
2017-07-30,3.019057511669077e-06
2017-07-31,3.019057511669077e-06
2017-08-01,3.019057511669077e-06
2017-08-02,3.019057511669077e-06
2017-08-03,3.538079001620384e-06
2017-08-04,5.154936813198267e-06
2017-08-05,7.99079054695188e-06
2017-08-06,1.030762279075419e-05
2017-08-07,1.1526618712929922e-05
2017-08-08,1.1526618712929922e-05
2017-08-09,1.1526618712929922e-05
2017-08-10,1.1526618712929922e-05
2017-08-11,1.1526618712929922e-05
2017-08-12,1.1526618712929922e-05
2017-08-13,1.1526618712929922e-05
2017-08-14,1.1526618712929922e-05
2017-08-15,1.1526618712929922e-05
2017-08-16,1.2790069273713642e-05
2017-08-17,1.4768714898616921e-05
2017-08-18,1.67473605235202e-05
2017-08-19,1.746255558763976e-05
2017-08-20,1.746255558763976e-05
2017-08-21,1.746255558763976e-05
2017-08-22,1.746255558763976e-05
2017-08-23,1.495177962773892e-05
2017-08-24,9.130927765192332e-06
2017-08-25,3.310075902645746e-06
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-02,0.0
2017-09-03,1.2795277457173443e-05
2017-09-04,4.020288815537025e-05
2017-09-05,7.215313831319184e-05
2017-09-06,0.00010045843590756732
2017-09-07,0.00012234983327973664
2017-09-08,0.00014153732896762366
2017-09-09,0.0001552194523252295
2017-09-10,0.00027960953349341
2017-09-11,0.0006337278311485686
2017-09-12,0.001262422479998582
2017-09-13,0.002085862875745689
2017-09-14,0.0030155957733973525
2017-09-15,0.00401795062637019
2017-09-16,0.005059256888080819
2017-09-17,0.006105844011945856
2017-09-18,0.006805828176376305
2017-09-19,0.0071532087943424775
2017-09-20,0.007157449093987365
2017-09-21,0.007157449093987365
2017-09-22,0.007157449093987365
2017-09-23,0.007157449093987365
2017-09-24,0.007157449093987365
2017-09-25,0.007157449093987365
2017-09-26,0.007157449093987365
2017-09-27,0.007157449093987365
2017-09-28,0.007157449093987365
2017-09-29,0.006664060292606025
2017-09-30,0.005666353176958083
2017-10-01,0.004190321191003504
2017-10-02,0.0032076780064302667
2017-10-03,0.0027293531361236296
2017-10-04,0.0027293531361236296
2017-10-05,0.0027293531361236296
2017-10-06,0.00266721399754281
2017-10-07,0.0022518055280413623
2017-10-08,0.0017236619997593433
2017-10-09,0.0010548235569876818
2017-10-10,0.0006914065293578436
2017-10-11,0.0003382802624972046
2017-10-12,0.00016669667151951036
2017-10-13,3.573778994291944e-05
2017-10-14,7.223206377701067e-06
2017-10-15,0.0
2017-10-16,7.223206377701067e-06
2017-10-17,3.573778994291944e-05
2017-10-18,0.00016669667151951036
2017-10-19,0.0005411143155676667
2017-10-20,0.0013602449721295052
2017-10-21,0.0025826411544064482
2017-10-22,0.003797057104674819
2017-10-23,0.005462280070695474
2017-10-24,0.006621793212989651
2017-10-25,0.007538604618443134
2017-10-26,0.030416237304479083
2017-10-27,0.08641737428500562
2017-10-28,0.18580355689640202
2017-10-29,0.3171338766592304
2017-10-30,0.482214240433835
2017-10-31,0.6812094251827641
2017-11-01,0.9109234362204571
2017-11-02,1.1653596358212648
2017-11-03,1.4379612576515182
2017-11-04,1.722171535377549
2017-11-05,2.01143370266569
2017-11-06,2.299190993182272
2017-11-07,2.5788866405936264
2017-11-08,2.843963878566085
2017-11-09,3.08786594076598
2017-11-10,3.3040360608596444
2017-11-11,3.485917472513408
2017-11-12,3.595013647876654
2017-11-13,3.642754156429349
2017-11-14,3.642754156429349
2017-11-15,3.642754156429349
2017-11-16,3.642754156429349
2017-11-17,3.642754156429349
2017-11-18,3.642754156429349
2017-11-19,3.642754156429349
2017-11-20,3.642754156429349
2017-11-21,3.642754156429349
2017-11-22,3.6177662043923533
2017-11-23,3.4926987858723746
2017-11-24,3.240452925670265
2017-11-25,2.86101695265045
2017-11-26,2.4065821101129203
2017-11-27,1.8834464541374054
2017-11-28,1.2979080408036328
2017-11-29,0.656264926191329
2017-11-30,0.0
2017-12-01,0.0
2017-12-02,0.0
2017-12-03,0.0
2017-12-04,0.0
2017-12-05,0.0
2017-12-06,0.0
2017-12-07,0.0
2017-12-08,0.0
2017-12-09,0.0
2017-12-10,0.0
2017-12-11,0.0
2017-12-12,0.0
2017-12-13,0.0
2017-12-14,0.0
2017-12-15,0.0
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,0.0
2017-12-19,0.0
2017-12-20,0.0
2017-12-21,0.0
2017-12-22,0.0
2017-12-23,0.0
2017-12-24,0.0
2017-12-25,0.0
2017-12-26,0.0
2017-12-27,0.0
2017-12-28,0.0
2017-12-29,0.0
2017-12-30,0.0
2017-12-31,0.0
2018-01-01,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,1.2852816265227114
2018-01-09,3.757272347657617
2018-01-10,6.417014943725159
2018-01-11,9.252320615787385
2018-01-12,12.249913102846484
2018-01-13,15.396516143904643
2018-01-14,18.67885347796404
2018-01-15,22.083648844026857
2018-01-16,25.59762598109529
2018-01-17,29.207508628171507
2018-01-18,32.90002052425769
2018-01-19,36.66188540835605
2018-01-20,40.479827019468736
2018-01-21,44.34056909659796
2018-01-22,48.23083537874589
2018-01-23,52.13734960491471
2018-01-24,56.04683551410661
2018-01-25,59.94601684532376
2018-01-26,63.82161733756838
2018-01-27,67.66036072984261
2018-01-28,71.44897076114866
2018-01-29,75.17417117048869
2018-01-30,78.82268569686492
2018-01-31,82.38123807927951
2018-02-01,85.83655205673466
2018-02-02,89.17535136823251
2018-02-03,92.38435975277531
2018-02-04,95.4503009493652
2018-02-05,98.35989869700434
2018-02-06,100.0
2018-02-07,100.0
2018-02-08,100.0
2018-02-09,100.0
2018-02-10,100.0
