dt64,lic_result
2017-03-28,
2017-03-29,0.026417308208938464
2017-03-30,0.02781909508084564
2017-03-31,0.02926605570421638
2017-04-01,0.03078827478943665
2017-04-02,0.03234057858504292
2017-04-03,0.0339379627603436
2017-04-04,0.03555034260495272
2017-04-05,0.03717762474710113
2017-04-06,0.03772008325174032
2017-04-07,0.03772008325174032
2017-04-08,0.037177718118870266
2017-04-09,0.037177718118870266
2017-04-10,0.037177718118870266
2017-04-11,0.037177718118870266
2017-04-12,0.037177718118870266
2017-04-13,0.037177718118870266
2017-04-14,0.03750407247328478
2017-04-15,0.038588802739024874
2017-04-16,0.04071488400679424
2017-04-17,0.04252762535816652
2017-04-18,0.04356897636019579
2017-04-19,0.041769249446840934
2017-04-20,0.038779993812519495
2017-04-21,0.03488671231389757
2017-04-22,0.03164946564487186
2017-04-23,0.02870340241109648
2017-04-24,0.024695413015481445
2017-04-25,0.021461666872229196
2017-04-26,0.017929954195037658
2017-04-27,0.016377207982003695
2017-04-28,0.015193910600365575
2017-04-29,0.013088228332972065
2017-04-30,0.01072358450657032
2017-05-01,0.008358940680168575
2017-05-02,0.00809997912116034
2017-05-03,0.00809997912116034
2017-05-04,0.0076624516555029555
2017-05-05,0.006461061414195345
2017-05-06,0.005259671172887733
2017-05-07,0.0037465069976979222
2017-05-08,0.002422472006236454
2017-05-09,0.0007103624814165016
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,3.139229860621359e-05
2017-05-20,3.139229860621359e-05
2017-05-21,1.5696149303106794e-05
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,0.0
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,0.0
