dt64,lic_result
2017-03-28,
2017-03-29,79.1951636240812
2017-03-30,79.1951636240812
2017-03-31,79.1951636240812
2017-04-01,79.20578522989094
2017-04-02,79.22702844151041
2017-04-03,79.2554080445333
2017-04-04,79.28030243314987
2017-04-05,79.4985658508992
2017-04-06,79.9136835121876
2017-04-07,81.02732234515918
2017-04-08,82.83236812081883
2017-04-09,85.44614056947917
2017-04-10,88.41187220907749
2017-04-11,91.51230218691967
2017-04-12,94.53016965031178
2017-04-13,97.02731686270681
2017-04-14,98.49436815922739
2017-04-15,99.03126466225484
2017-04-16,99.0513186535722
2017-04-17,99.2269939880777
2017-04-18,99.433033846201
2017-04-19,99.61901971300695
2017-04-20,99.64938423662478
2017-04-21,99.64938423662478
2017-04-22,99.64938423662478
2017-04-23,99.64938423662478
2017-04-24,99.61901971300695
2017-04-25,99.53345529246879
2017-04-26,99.34746942566284
2017-04-27,99.17179409115734
2017-04-28,98.96324926650227
2017-04-29,98.85116376419377
2017-04-30,98.34484062735628
2017-05-01,96.86967300713263
2017-05-02,93.96488625644469
2017-05-03,89.71759040539173
2017-05-04,84.50063613886148
2017-05-05,78.47436719316526
2017-05-06,71.79912730461449
2017-05-07,64.63526020952047
2017-05-08,57.14310964419465
2017-05-09,49.4823861004239
2017-05-10,41.809633847372815
2017-05-11,34.27759768705917
2017-05-12,27.035856198878424
2017-05-13,20.23335471770157
2017-05-14,14.019038578399607
2017-05-15,8.541853115843521
2017-05-16,3.9507436649043037
2017-05-17,1.2019121831361164
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,0.0
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-24,0.0
2017-06-25,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,6.342313273822692e-06
2017-07-01,3.409736079705084e-05
2017-07-02,6.185240832027899e-05
2017-07-03,8.326514256968443e-05
2017-07-04,8.326514256968443e-05
2017-07-05,8.326514256968443e-05
2017-07-06,8.326514256968443e-05
2017-07-07,8.326514256968443e-05
2017-07-08,8.326514256968443e-05
2017-07-09,8.326514256968443e-05
2017-07-10,8.326514256968443e-05
2017-07-11,5.696361638117872e-05
2017-07-12,2.927126995031857e-05
2017-07-13,1.5536850216584339e-06
2017-07-14,1.0048712416678532e-07
2017-07-15,3.809423186814031e-08
2017-07-16,9.398373694929193e-10
2017-07-17,7.55263012007337e-10
2017-07-18,4.4706294264365396e-10
2017-07-19,1.3886287327997104e-10
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,0.0
2017-08-01,0.0
2017-08-02,0.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.0
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,0.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,1.8837078711587246e-16
2017-09-08,1.0118184821189694e-13
2017-09-09,4.0528412969399186e-13
2017-09-10,7.091980403889709e-13
2017-09-11,9.123068444462847e-13
2017-09-12,1.1850907279897688e-12
2017-09-13,1.6956673611524322e-12
2017-09-14,2.278469960579208e-12
2017-09-15,2.903301977539236e-12
2017-09-16,3.463253500206539e-12
2017-09-17,4.065234440407094e-12
2017-09-18,4.575811073569757e-12
2017-09-19,4.913475451405966e-12
2017-09-20,5.136884445444811e-12
2017-09-21,5.136884445444811e-12
2017-09-22,5.136884445444811e-12
2017-09-23,5.136884445444811e-12
2017-09-24,5.140557181430505e-12
2017-09-25,5.278785491195093e-12
2017-09-26,5.278785491195093e-12
2017-09-27,4.93744837737319e-12
2017-09-28,3.90160416710509e-12
2017-09-29,2.1893093519568194e-12
2017-09-30,8.146789146447583e-13
2017-10-01,0.0
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,0.0
2017-10-10,0.0
2017-10-11,0.0
2017-10-12,0.0
2017-10-13,0.0
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,0.0
2017-10-20,0.0
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,5.645304192042545e-06
2017-10-24,0.002585360610786967
2017-10-25,0.008964255863318516
2017-10-26,0.019869378871114833
2017-10-27,0.03297822652366375
2017-10-28,0.046824838939308694
2017-10-29,0.0594381532093784
2017-10-30,0.06734673271258146
2017-10-31,0.07115605595766976
2017-11-01,0.07197609098630083
2017-11-02,0.07281139962951322
2017-11-03,0.07423406360759657
2017-11-04,0.07651970716549465
2017-11-05,0.07871701722852258
2017-11-06,0.07988928350576165
2017-11-07,0.08078348114555413
2017-11-08,0.08183907216050558
2017-11-09,0.08542797831296221
2017-11-10,0.09156992268170017
2017-11-11,0.09755047367527914
2017-11-12,0.10181419612372776
2017-11-13,0.10664758308127183
2017-11-14,0.11283435484193376
2017-11-15,0.1196996951097215
