dt64,lic_result
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-01,
2017-04-02,
2017-04-03,
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,5.2096074122113605e-18
2017-05-30,1.2231195619501944e-17
2017-05-31,9.04657331017456e-17
2017-06-01,2.840649407924435e-16
2017-06-02,6.326913725550243e-16
2017-06-03,1.0971341742637859e-15
2017-06-04,1.6521473190350617e-15
2017-06-05,2.2795063681924764e-15
2017-06-06,2.9609868830596548e-15
2017-06-07,3.678364424960222e-15
2017-06-08,4.4134145552178006e-15
2017-06-09,5.147912835156017e-15
2017-06-10,5.863634826098495e-15
2017-06-11,6.332499119430858e-15
2017-06-12,6.560764478151689e-15
2017-06-13,6.560764478151689e-15
2017-06-14,6.560764478151689e-15
2017-06-15,6.560764478151689e-15
2017-06-16,6.560764478151689e-15
2017-06-17,6.560764478151689e-15
2017-06-18,6.560764478151689e-15
2017-06-19,6.560764478151689e-15
2017-06-20,6.560764478151689e-15
2017-06-21,6.520270928146508e-15
2017-06-22,6.086204420587939e-15
2017-06-23,5.65213791302937e-15
2017-06-24,5.258564955475981e-15
2017-06-25,4.773685854434259e-15
2017-06-26,3.706546695970359e-15
2017-06-27,1.9536917108116985e-15
2017-06-28,6.857158266947603e-16
2017-06-29,0.0
2017-06-30,0.0
2017-07-01,0.0
2017-07-02,0.0
2017-07-03,0.0
2017-07-04,0.0
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-08,0.0
2017-07-09,0.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-15,0.0
2017-07-16,0.0
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,0.0
2017-08-01,0.0
2017-08-02,0.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,0.0
2017-08-15,2.77868381064006e-12
2017-08-16,8.585306298932085e-12
2017-08-17,1.4765811087741972e-11
2017-08-18,2.0050397016606863e-11
2017-08-19,2.2771853799142727e-11
2017-08-20,5.5259953169444094e-11
2017-08-21,1.561420139799903e-10
2017-08-22,3.550338267932564e-10
2017-08-23,6.470472243066597e-10
2017-08-24,1.0134232659831955e-09
2017-08-25,1.4439310905566877e-09
2017-08-26,1.9283398367609598e-09
2017-08-27,2.4564186433298344e-09
2017-08-28,3.0179366489971355e-09
2017-08-29,3.602662992496687e-09
2017-08-30,4.2003668125623116e-09
2017-08-31,4.800817247927834e-09
2017-09-01,5.393783437327077e-09
2017-09-02,5.9690345194938625e-09
2017-09-03,6.516339633162015e-09
2017-09-04,6.9348333551812885e-09
2017-09-05,7.169755276948269e-09
2017-09-06,7.23383100838456e-09
2017-09-07,7.23383100838456e-09
2017-09-08,7.23383100838456e-09
2017-09-09,7.23383100838456e-09
2017-09-10,7.23383100838456e-09
2017-09-11,7.23383100838456e-09
2017-09-12,7.23383100838456e-09
2017-09-13,7.23383100838456e-09
2017-09-14,7.23383100838456e-09
2017-09-15,7.23383100838456e-09
2017-09-16,7.23383100838456e-09
2017-09-17,6.985967486735423e-09
2017-09-18,6.433181101362113e-09
2017-09-19,5.7665495026266615e-09
2017-09-20,5.096234146014558e-09
2017-09-21,4.3015692439862094e-09
2017-09-22,3.124186942838373e-09
2017-09-23,1.6310888183047602e-09
2017-09-24,5.672631029115658e-10
