dt64,lic_result
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-01,
2017-04-02,
2017-04-03,
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,0.0
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-24,0.0
2017-06-25,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-07-01,0.0
2017-07-02,0.0
2017-07-03,0.0
2017-07-04,0.0
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-08,0.0
2017-07-09,0.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-15,0.0
2017-07-16,0.0
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,0.0
2017-08-01,0.0
2017-08-02,0.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,8.302230481648929e-14
2017-08-23,1.9742719939740044e-13
2017-08-24,1.0246844395961217e-12
2017-08-25,2.1985420349565634e-11
2017-08-26,7.375270843908479e-11
2017-08-27,1.6376679186637903e-10
2017-08-28,2.789732712761084e-10
2017-08-29,4.135274985067263e-10
2017-08-30,5.624120826368848e-10
2017-08-31,7.206096327452362e-10
2017-09-01,8.831027579104325e-10
2017-09-02,1.044874067211126e-09
2017-09-03,1.1519235135766045e-09
2017-09-04,1.2044917022950353e-09
2017-09-05,1.2044917022950353e-09
2017-09-06,1.2044917022950353e-09
2017-09-07,1.2044917022950353e-09
2017-09-08,1.2044917022950353e-09
2017-09-09,1.2044917022950353e-09
2017-09-10,1.2044917022950353e-09
2017-09-11,1.240374180207358e-09
2017-09-12,1.2893568363567225e-09
2017-09-13,1.338339492506087e-09
2017-09-14,1.338339492506087e-09
2017-09-15,1.2630197618022485e-09
2017-09-16,1.086859228718394e-09
2017-09-17,7.993029752371071e-10
2017-09-18,5.739662742226167e-10
2017-09-19,4.494703755881426e-10
2017-09-20,4.494703755881426e-10
2017-09-21,4.494703755881426e-10
2017-09-22,4.494703755881426e-10
2017-09-23,4.494703755881426e-10
2017-09-24,4.494703755881426e-10
2017-09-25,2.996469170587617e-10
2017-09-26,1.4982345852938086e-10
2017-09-27,0.0
2017-09-28,4.373797120106678e-10
2017-09-29,1.0587461361755495e-09
2017-09-30,8.089683729905066e-09
2017-10-01,2.4062346836043004e-08
2017-10-02,4.572144230675068e-08
2017-10-03,6.097096660789371e-08
2017-10-04,6.684138568461766e-08
2017-10-05,7.051973599141052e-08
2017-10-06,7.419808629820338e-08
2017-10-07,7.787643660499624e-08
2017-10-08,7.787643660499624e-08
2017-10-09,7.787643660499624e-08
