dt64,lic_result
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-01,
2017-04-02,
2017-04-03,
2017-04-04,1.2763962296349537e-19
2017-04-05,2.340059754330749e-19
2017-04-06,3.1302098012476244e-19
2017-04-07,3.3429425061867836e-19
2017-04-08,3.190990574087384e-19
2017-04-09,2.8566963234687057e-19
2017-04-10,2.643963618529547e-19
2017-04-11,2.431230913590388e-19
2017-04-12,2.0969366629717094e-19
2017-04-13,1.862186433177331e-19
2017-04-14,1.8485417698867727e-19
2017-04-15,2.069647336390593e-19
2017-04-16,2.304397566184971e-19
2017-04-17,2.5003845479948087e-19
2017-04-18,2.5831828456897875e-19
2017-04-19,2.5003845479948087e-19
2017-04-20,2.4699941615749287e-19
2017-04-21,2.5003845479948087e-19
2017-04-22,2.643963618529547e-19
2017-04-23,2.792194278822431e-19
2017-04-24,3.0272546146006856e-19
2017-04-25,3.23192456395906e-19
2017-04-26,3.3491446258643105e-19
2017-04-27,3.3491446258643105e-19
2017-04-28,3.6431250985790667e-19
2017-04-29,3.9371055712938225e-19
2017-04-30,4.2310860440085783e-19
2017-05-01,4.2310860440085783e-19
2017-05-02,4.2310860440085783e-19
2017-05-03,4.2310860440085783e-19
2017-05-04,4.2310860440085783e-19
2017-05-05,4.2410094354926212e-19
2017-05-06,1.0100049559877226e-18
2017-05-07,2.9677462066127694e-18
2017-05-08,6.638814645292948e-18
2017-05-09,1.026779146846364e-17
2017-05-10,1.3736498076623434e-17
2017-05-11,1.6860814313647486e-17
2017-05-12,1.9564421236267928e-17
2017-05-13,2.1056461135712688e-17
2017-05-14,2.1178571879089656e-17
2017-05-15,2.1056461135712688e-17
2017-05-16,1.8352854213092243e-17
2017-05-17,1.5649247290471797e-17
2017-05-18,1.3067751111228317e-17
2017-05-19,8.71183407415221e-18
2017-05-20,4.355917037076105e-18
2017-05-21,2.0380078277537835e-17
2017-05-22,6.700820198944138e-17
2017-05-23,1.3124022717182844e-16
2017-05-24,1.8490586231472528e-16
2017-05-25,2.3621216312329054e-16
2017-05-26,2.734231952838686e-16
2017-05-27,3.129733159927775e-16
2017-05-28,3.3137041083670515e-16
2017-05-29,4.872318051240098e-16
2017-05-30,7.507805748118289e-16
2017-05-31,5.458014242171988e-15
2017-06-01,1.990224358023904e-14
2017-06-02,4.802753497242242e-14
2017-06-03,8.829877177841432e-14
2017-06-04,1.3694439995564432e-13
2017-06-05,1.7178912592657107e-13
2017-06-06,1.9004148590078199e-13
2017-06-07,1.9004148590078199e-13
2017-06-08,1.9004148590078199e-13
2017-06-09,2.0882237003957e-13
2017-06-10,2.3372227970199413e-13
2017-06-11,2.7068110233122967e-13
2017-06-12,3.04178667816182e-13
2017-06-13,3.326811038121826e-13
2017-06-14,3.6270226459638476e-13
2017-06-15,3.7740379838608213e-13
2017-06-16,3.909814361410952e-13
2017-06-17,3.909814361410952e-13
2017-06-18,3.909814361410952e-13
2017-06-19,3.7627990235139784e-13
2017-06-20,3.341998286003842e-13
2017-06-21,2.539550409234539e-13
2017-06-22,1.383294293327862e-13
2017-06-23,5.0082357703434765e-14
2017-06-24,0.0
2017-06-25,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-07-01,0.0
2017-07-02,0.0
2017-07-03,0.0
2017-07-04,0.0
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-08,0.0
2017-07-09,0.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-15,0.0
2017-07-16,0.0
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,0.0
2017-08-01,0.0
2017-08-02,0.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.0
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,0.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,0.0
2017-09-08,0.0
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,0.0
2017-09-12,0.0
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,0.0
2017-09-16,0.0
