dt64,lic_result
2017-03-29,
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,2.190536913277716e-05
2017-04-11,7.55030116503645e-05
2017-04-12,0.00016605552305157763
2017-04-13,0.00027239582094923734
2017-04-14,0.00038159886798081036
2017-04-15,0.00048397907126935814
2017-04-16,0.0005737381713206572
2017-04-17,0.0006483173531260788
2017-04-18,0.0007058056905741131
2017-04-19,0.0007382219756301725
2017-04-20,0.0007512631564133863
2017-04-21,0.0007512631564133863
2017-04-22,0.0007512631564133863
2017-04-23,0.0007512631564133863
2017-04-24,0.0007512631564133863
2017-04-25,0.0007512631564133863
2017-04-26,0.0007512631564133863
2017-04-27,0.0007512631564133863
2017-04-28,0.0007512631564133863
2017-04-29,0.0007376880709493841
2017-04-30,0.0006978094308380554
2017-05-01,0.0006268739501738169
2017-05-02,0.0005356083298697515
2017-05-03,0.000435797555912927
2017-05-04,0.0003331563323673332
2017-05-05,0.00023339936329695973
2017-05-06,0.00014224135276579656
2017-05-07,6.665560018098522e-05
2017-05-08,2.209081822478267e-05
2017-05-09,3.775786029455605e-06
2017-05-10,3.775786029455605e-06
2017-05-11,3.775786029455605e-06
2017-05-12,3.775786029455605e-06
2017-05-13,3.775786029455605e-06
2017-05-14,3.775786029455605e-06
2017-05-15,3.775786029455605e-06
2017-05-16,2.517190686303737e-06
2017-05-17,1.2585953431518684e-06
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,1.2585953431518684e-06
2017-05-23,4.7846363509781865e-06
2017-05-24,1.1103771529167917e-05
2017-05-25,1.6902193319171406e-05
2017-05-26,2.2530828349753563e-05
2017-05-27,2.7468963232728133e-05
2017-05-28,3.166921616073708e-05
2017-05-29,3.3771810183492905e-05
2017-05-30,3.3771810183492905e-05
2017-05-31,3.3771810183492905e-05
2017-06-01,2.957155725548396e-05
2017-06-02,1.8314287194319658e-05
2017-06-03,7.057017133155356e-06
2017-06-04,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-10,3.21950029548039e-05
2017-06-11,0.00010661857264245783
2017-06-12,0.00020612605177522703
2017-06-13,0.0002734385279531924
2017-06-14,0.00019901495826553841
2017-06-15,9.950747913276921e-05
2017-06-16,0.0
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,1.6851176685902984e-05
2017-06-20,3.370235337180597e-05
2017-06-21,5.0553530057708956e-05
2017-06-22,5.0553530057708956e-05
2017-06-23,5.0553530057708956e-05
2017-06-24,5.0553530057708956e-05
2017-06-25,5.0553530057708956e-05
2017-06-26,5.0553530057708956e-05
2017-06-27,5.0553530057708956e-05
2017-06-28,4.012732269796645e-05
2017-06-29,2.386235911850811e-05
2017-06-30,7.451435939889439e-06
2017-07-01,1.0264666137289614e-06
2017-07-02,4.4025350728431593e-07
2017-07-03,0.0
2017-07-04,0.0
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-08,0.0
2017-07-09,0.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-15,0.0
2017-07-16,0.0
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,6.442280488602035e-11
2017-07-29,1.683030201544278e-10
2017-07-30,2.806976581984715e-10
2017-07-31,3.286694913564948e-10
2017-08-01,3.37183914132131e-10
2017-08-02,3.37183914132131e-10
2017-08-03,3.37183914132131e-10
2017-08-04,3.37183914132131e-10
2017-08-05,3.37183914132131e-10
2017-08-06,3.2866949135649474e-10
2017-08-07,3.081998823746233e-10
2017-08-08,2.6226254923238417e-10
2017-08-09,2.228051388499971e-10
2017-08-10,1.7086503121579333e-10
2017-08-11,1.2090906081967984e-10
2017-08-12,5.648625593365949e-11
2017-08-13,1.650133450569107e-11
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.0
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,0.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,0.0
2017-09-08,0.0
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,0.0
2017-09-12,0.0
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,0.0
2017-09-16,0.0
2017-09-17,0.0
2017-09-18,0.0
2017-09-19,0.0
2017-09-20,8.653734524988515e-12
2017-09-21,2.6328381507589683e-11
2017-09-22,4.437020642281497e-11
2017-09-23,5.375829681305175e-11
2017-09-24,5.412547474567587e-11
2017-09-25,3.608364983045058e-11
2017-09-26,1.804182491522529e-11
2017-09-27,0.0
2017-09-28,2.1737899225812815e-09
2017-09-29,7.653183823373113e-09
2017-09-30,1.696441632692868e-08
2017-10-01,2.4231369499841662e-08
2017-10-02,3.1815701898846236e-08
2017-10-03,3.556819569508708e-08
2017-10-04,3.919117889938922e-08
2017-10-05,4.129611739760195e-08
2017-10-06,4.34010558958147e-08
2017-10-07,4.5505994394027434e-08
