dt64,lic_result
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-01,0.0009045733862776008
2017-04-02,0.0016863163433121619
2017-04-03,0.0023452288711036835
2017-04-04,0.0027110601844772026
2017-04-05,0.002889754217326696
2017-04-06,0.00279491350546285
2017-04-07,0.002596788834060626
2017-04-08,0.0023232540893472864
2017-04-09,0.0020607067355121445
2017-04-10,0.0018554108880372237
2017-04-11,0.0016963791560443246
2017-04-12,0.0015025340240553328
2017-04-13,0.001227611376588226
2017-04-14,0.0008953213916089664
2017-04-15,0.0005867415845956681
2017-04-16,0.0003562074284729
2017-04-17,0.00018000874527470062
2017-04-18,9.860472165411599e-05
2017-04-19,5.765988468657735e-05
2017-04-20,5.7336117810248917e-05
2017-04-21,5.297409849568493e-05
2017-04-22,4.764519531007058e-05
2017-04-23,3.7468622495399595e-05
2017-04-24,2.5839515495185598e-05
2017-04-25,1.2110340556771718e-05
2017-04-26,3.2288352474144676e-06
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,3.2424094986008253e-09
2017-05-19,9.001892645413536e-09
2017-05-20,1.6617120522661972e-08
2017-05-21,2.083952465609929e-08
2017-05-22,2.141421810361068e-08
2017-05-23,1.9558473373174957e-08
2017-05-24,1.7211932773485606e-08
2017-05-25,1.59960292115103e-08
2017-05-26,1.535481909704638e-08
2017-05-27,1.535481909704638e-08
2017-05-28,1.535481909704638e-08
2017-05-29,1.535481909704638e-08
2017-05-30,1.535481909704638e-08
2017-05-31,1.535481909704638e-08
2017-06-01,1.535481909704638e-08
2017-06-02,1.535481909704638e-08
2017-06-03,1.4117655943422566e-08
2017-06-04,1.1686076977139202e-08
2017-06-05,8.16683647177331e-09
2017-06-06,4.9678587871385e-09
2017-06-07,2.281164721073073e-09
2017-06-08,6.8213219409017e-10
2017-06-09,0.0
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,0.0
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,6.873556477462158e-12
2017-06-20,1.9631364411018146e-11
2017-06-21,3.733952101272706e-11
2017-06-22,5.224596925061328e-11
2017-06-23,6.392249744479926e-11
2017-06-24,7.064867697083232e-11
2017-06-25,7.33030083832259e-11
2017-06-26,7.33030083832259e-11
2017-06-27,7.33030083832259e-11
2017-06-28,7.33030083832259e-11
2017-06-29,7.33030083832259e-11
2017-06-30,7.33030083832259e-11
2017-07-01,7.33030083832259e-11
2017-07-02,7.33030083832259e-11
2017-07-03,7.33030083832259e-11
2017-07-04,7.115422405004413e-11
2017-07-05,6.669838386372385e-11
2017-07-06,5.983261853773573e-11
2017-07-07,5.265824535215968e-11
2017-07-08,4.5341471007278e-11
2017-07-09,3.8048502203373025e-11
2017-07-10,3.094554564072708e-11
2017-07-11,2.419880801962246e-11
2017-07-12,1.797449604034149e-11
2017-07-13,1.243881640316649e-11
2017-07-14,7.757975808379776e-12
2017-07-15,4.098180956263666e-12
2017-07-16,1.6256385471004736e-12
2017-07-17,3.9149516645179836e-13
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,0.0
2017-08-01,0.0
2017-08-02,0.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.0
2017-08-26,2.2159656649555534e-13
2017-08-27,7.47936436487456e-13
2017-08-28,1.6489124620796982e-12
2017-08-29,2.7595670439839288e-12
2017-08-30,4.040138527509767e-12
2017-08-31,5.450865257966829e-12
2017-09-01,6.951985580664736e-12
2017-09-02,8.503737840913103e-12
2017-09-03,1.0066360384021554e-11
2017-09-04,1.1600091555299701e-11
2017-09-05,1.2728103695370319e-11
2017-09-06,1.3340454150049288e-11
2017-09-07,1.3460027261510172e-11
2017-09-08,1.3460027261510172e-11
2017-09-09,1.3460027261510172e-11
2017-09-10,1.3460027261510172e-11
2017-09-11,1.3460027261510172e-11
