dt64,lic_result
2017-03-28,
2017-03-29,5.044221690748431e-05
2017-03-30,6.059505901266511e-05
2017-03-31,6.928763315195124e-05
2017-04-01,7.418627892230508e-05
2017-04-02,7.675126428962127e-05
2017-04-03,7.703331727486563e-05
2017-04-04,7.736609828107576e-05
2017-04-05,7.764097663008629e-05
2017-04-06,7.780722430093146e-05
2017-04-07,7.784563562938467e-05
2017-04-08,7.786484129361127e-05
2017-04-09,7.786484129361127e-05
2017-04-10,7.787633190270832e-05
2017-04-11,7.78993131209024e-05
2017-04-12,7.792229433909646e-05
2017-04-13,7.793378494819351e-05
2017-04-14,7.793378494819351e-05
2017-04-15,7.793378494819351e-05
2017-04-16,7.793378494819351e-05
2017-04-17,7.793378494819351e-05
2017-04-18,7.793378494819351e-05
2017-04-19,7.792229433909648e-05
2017-04-20,7.789931312090238e-05
2017-04-21,7.787633190270832e-05
2017-04-22,7.535185799634218e-05
2017-04-23,6.811408584981233e-05
2017-04-24,5.506621170940806e-05
2017-04-25,3.873941691696872e-05
2017-04-26,2.24672162582401e-05
2017-04-27,9.59441522549331e-06
2017-04-28,2.510095874975197e-06
2017-04-29,9.082278957141004e-08
2017-04-30,7.71227759439935e-08
2017-05-01,5.4849308474027896e-08
2017-05-02,3.0169872556712064e-08
2017-05-03,1.057187456467089e-08
2017-05-04,2.4347827497777016e-09
2017-05-05,1.4130114589203822e-09
2017-05-06,4.3909835900930144e-10
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,0.0
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-24,0.0
2017-06-25,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-07-01,0.0
2017-07-02,0.0
2017-07-03,0.0
2017-07-04,0.0
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-08,0.0
2017-07-09,0.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-15,0.0
2017-07-16,0.0
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,0.0
2017-08-01,0.0
2017-08-02,0.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,0.0
