dt64,lic_result
2017-03-28,
2017-03-29,98.15821035897382
2017-03-30,98.14144974406145
2017-03-31,98.10792851423669
2017-04-01,97.99176431424239
2017-04-02,97.80971775899086
2017-04-03,97.6444318186517
2017-04-04,97.5617888484821
2017-04-05,97.5617888484821
2017-04-06,97.5617888484821
2017-04-07,96.59885588023145
2017-04-08,93.90795466443825
2017-04-09,88.88158339439332
2017-04-10,82.03270670422096
2017-04-11,73.83392501166945
2017-04-12,64.75783873448717
2017-04-13,55.277048290422364
2017-04-14,45.84574505787009
2017-04-15,36.8260752184586
2017-04-16,28.469730717696212
2017-04-17,20.936358304324568
2017-04-18,14.367195687731938
2017-04-19,8.903480577306624
2017-04-20,4.686450682436911
2017-04-21,1.944093684043107
2017-04-22,0.6223184675016756
2017-04-23,0.24367251870464746
2017-04-24,0.21675611127395877
2017-04-25,0.1757591476883221
2017-04-26,0.1241192817421185
2017-04-27,0.06448502731100506
2017-04-28,0.01971925762662466
2017-04-29,0.0009965483510572975
2017-04-30,0.000797238680845838
2017-05-01,0.0004733787969508093
2017-05-02,0.0003488285832672401
2017-05-03,0.00022025002412205064
2017-05-04,0.00021622167866043032
2017-05-05,0.00021219333319881005
2017-05-06,0.00021219333319881005
2017-05-07,0.00021219333319881005
2017-05-08,0.00021219333319881005
2017-05-09,0.00021219333319881005
2017-05-10,0.0002162110763019074
2017-05-11,0.00022023942176352772
2017-05-12,0.00022426776722514802
2017-05-13,0.00022427836958367094
2017-05-14,0.00022427836958367094
2017-05-15,0.00022427836958367094
2017-05-16,0.00022427836958367094
2017-05-17,0.00022427836958367094
2017-05-18,0.00022427836958367094
2017-05-19,0.00022427836958367094
2017-05-20,0.00022426776722514802
2017-05-21,0.0002242571648666251
2017-05-22,0.00022424656250810218
2017-05-23,0.00022424656250810218
2017-05-24,0.00022424656250810218
2017-05-25,0.00022394809371038306
2017-05-26,0.00022296979767099173
2017-05-27,0.00020283448953474403
2017-05-28,0.00012838410416309576
2017-05-29,5.461354603311969e-05
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,0.0
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-24,0.0
2017-06-25,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-07-01,0.0
2017-07-02,0.0
2017-07-03,0.0
2017-07-04,0.0
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-08,0.0
2017-07-09,0.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-15,0.0
2017-07-16,0.0
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,0.0
2017-08-01,0.0
2017-08-02,0.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.0
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,0.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,0.0
2017-09-08,0.0
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,0.0
2017-09-12,0.0
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,6.033671230443197e-08
2017-09-16,1.9561552043600108e-07
2017-09-17,3.674077873743334e-07
2017-09-18,5.159751404607558e-07
2017-09-19,6.433529171852132e-07
2017-09-20,7.368509122386115e-07
2017-09-21,8.164620226913973e-07
2017-09-22,1.7417858126802062e-06
2017-09-23,5.080859780176704e-06
2017-09-24,1.1770817412966394e-05
2017-09-25,2.162246439510485e-05
2017-09-26,3.3535249284857876e-05
2017-09-27,4.20739255954658e-05
2017-09-28,4.6551447357723764e-05
2017-09-29,4.6551447357723764e-05
2017-09-30,4.6551447357723764e-05
2017-10-01,4.6551447357723764e-05
2017-10-02,4.6551447357723764e-05
2017-10-03,4.6551447357723764e-05
2017-10-04,4.6551447357723764e-05
2017-10-05,4.6551447357723764e-05
2017-10-06,4.6551447357723764e-05
2017-10-07,3.1271116221419295e-05
2017-10-08,1.5753967102178037e-05
2017-10-09,2.3681798293678385e-07
2017-10-10,0.0
2017-10-11,0.0
2017-10-12,0.0
2017-10-13,0.0
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,0.0
2017-10-20,0.0
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,2.3681798293678385e-07
2017-10-26,0.0016600803754490215
2017-10-27,0.0063626564954388995
2017-10-28,0.014581815679288705
2017-10-29,0.02247307059156457
2017-10-30,0.02907199598883073
2017-10-31,0.03357177636235951
2017-11-01,0.03706076887313869
2017-11-02,0.03879935833640378
2017-11-03,0.0391202729415634
2017-11-04,0.039198916310385655
2017-11-05,0.039293233884096584
2017-11-06,0.04030518300860074
2017-11-07,0.06056454190007505
2017-11-08,0.11564397338157295
2017-11-09,0.21427083443880438
2017-11-10,0.3427032700416724
2017-11-11,0.4851354053092476
2017-11-12,0.6266789969113933
2017-11-13,0.7524458015179736
2017-11-14,0.8455708196041103
2017-11-15,0.8951193202291498
2017-11-16,0.9132897363630669
2017-11-17,1.014119633583292
2017-11-18,1.316079171776108
2017-11-19,1.8853436923329188
2017-11-20,2.6610412618429033
2017-11-21,3.5447521856126554
2017-11-22,4.44003352514351
2017-11-23,5.2573743096214995
2017-11-24,5.941923406656144
2017-11-25,6.48042148996515
2017-11-26,6.894269071689712
2017-11-27,7.211798631655721
2017-11-28,7.461342649689072
2017-11-29,7.671233605615652
2017-11-30,7.869803979261358
2017-12-01,8.08538625045208
2017-12-02,8.346312899013709
2017-12-03,8.680672478002096
2017-12-04,9.115333906622888
2017-12-05,9.675702543461485
2017-12-06,10.38596411325307
2017-12-07,11.270060413962796
2017-12-08,12.351933243555814
2017-12-09,13.65552439999727
2017-12-10,15.204775681252322
2017-12-11,17.023628885286115
2017-12-12,19.136025810063796
2017-12-13,21.562602767225354
2017-12-14,24.307468636784947
2017-12-15,27.354899380805758
2017-12-16,30.672643529725132
2017-12-17,34.22514412765526
2017-12-18,37.97684421870833
2017-12-19,41.89218684699654
2017-12-20,45.93561505663207
2017-12-21,50.0715718917271
2017-12-22,54.264500396393835
2017-12-23,58.478843614744456
2017-12-24,62.67904459089115
2017-12-25,66.82954636894611
2017-12-26,70.89479199302154
2017-12-27,74.83922450722959
2017-12-28,78.62728695568246
2017-12-29,82.22342238249236
2017-12-30,85.59207383177147
2017-12-31,88.69768434763198
2018-01-01,91.50469697418605
2018-01-02,93.97755475554591
2018-01-03,96.08070073582373
2018-01-04,97.77857795913168
2018-01-05,99.03416072478835
2018-01-06,99.7199237716736
2018-01-07,99.984044453467
2018-01-08,99.98551319826066
2018-01-09,99.9868976193185
2018-01-10,99.98695646244168
2018-01-11,99.9869622672469
2018-01-12,99.98913522270574
2018-01-13,99.99336235940412
2018-01-14,99.99770708042644
2018-01-15,99.99987890171762
2018-01-16,99.99999716458085
2018-01-17,99.99999784312013
2018-01-18,99.99999846593168
2018-01-19,99.99999846593168
2018-01-20,99.9999989772878
2018-01-21,99.9999994886439
2018-01-22,100.0
2018-01-23,100.0
2018-01-24,100.0
2018-01-25,100.0
2018-01-26,100.0
2018-01-27,100.0
2018-01-28,100.0
2018-01-29,100.0
2018-01-30,100.0
2018-01-31,100.0
2018-02-01,100.0
2018-02-02,100.0
2018-02-03,100.0
2018-02-04,100.0
2018-02-05,100.0
2018-02-06,100.0
2018-02-07,100.0
2018-02-08,100.0
2018-02-09,100.0
2018-02-10,99.99999999999999
2018-02-11,99.99999994029177
2018-02-12,99.99999980809925
2018-02-13,99.99999966951871
2018-02-14,99.99999959064638
2018-02-15,99.99999958425833
2018-02-16,99.99999958425833
2018-02-17,99.99999958425833
2018-02-18,99.9999997228389
2018-02-19,99.99999986141944
2018-02-20,99.99999999999999
2018-02-21,99.99999999999999
2018-02-22,99.99999999999999
2018-02-23,99.99999999999999
2018-02-24,100.0
2018-02-25,100.0
2018-02-26,100.0
2018-02-27,100.0
2018-02-28,100.0
2018-03-01,100.0
2018-03-02,100.0
2018-03-03,100.0
2018-03-04,100.0
2018-03-05,100.0
2018-03-06,100.0
2018-03-07,100.0
2018-03-08,100.0
2018-03-09,99.99883774398889
2018-03-10,99.99507345970095
2018-03-11,99.98754489112504
2018-03-12,99.97762090100332
2018-03-13,99.96859896071594
2018-03-14,99.96312600631195
2018-03-15,99.96112789658117
2018-03-16,99.96064962726318
2018-03-17,99.96017766827913
2018-03-18,99.95978144289445
2018-03-19,99.95951847198099
2018-03-20,99.95944265594959
2018-03-21,99.95932120719863
2018-03-22,99.9591720768138
2018-03-23,99.95904477961749
2018-03-24,99.95897021442507
2018-03-25,99.9516104295845
2018-03-26,99.92972230977655
2018-03-27,99.90783418996864
2018-03-28,99.89330585500129
2018-03-29,99.89330585500129
2018-03-30,99.89330585500129
2018-03-31,99.89330585500129
2018-04-01,99.89330585500129
2018-04-02,99.89330585500129
2018-04-03,99.89330585500129
2018-04-04,99.89056057036186
2018-04-05,99.88499066114046
2018-04-06,99.86600892923074
2018-04-07,99.83668893631175
2018-04-08,99.83668893631175
2018-04-09,99.85292538358203
2018-04-10,99.90485800397623
2018-04-11,99.9302952560334
2018-04-12,99.9529078835086
2018-04-13,99.9529078835086
2018-04-14,99.9529078835086
2018-04-15,99.9529078835086
2018-04-16,99.9529078835086
2018-04-17,99.9302952560334
2018-04-18,99.86279941901425
2018-04-19,99.73809569434822
2018-04-20,99.61132113988175
2018-04-21,99.52942979495928
2018-04-22,98.57250659755407
2018-04-23,96.1785252336279
2018-04-24,91.87432992821664
2018-04-25,86.22471766973995
2018-04-26,79.47277715613338
2018-04-27,71.86159708533252
2018-04-28,63.63426615527296
2018-04-29,55.03387306389027
2018-04-30,46.30350650912002
2018-05-01,37.68625518889781
2018-05-02,29.425207801159207
2018-05-03,21.763453043839792
2018-05-04,14.944079614875156
2018-05-05,9.210176212200864
2018-05-06,4.876045321251639
2018-05-07,2.4179468468346528
2018-05-08,1.4463712394128614
2018-05-09,1.3751574519137264
2018-05-10,1.2317814653210337
2018-05-11,1.0163628343297775
2018-05-12,0.7098436089946792
2018-05-13,0.4311659132421705
2018-05-14,0.22755981166274417
2018-05-15,0.07930648827809425
2018-05-16,0.037625342684081485
2018-05-17,0.0017448770105255003
2018-05-18,0.0013868480229687577
2018-05-19,0.0008149309616724737
2018-05-20,0.000348598685834487
2018-05-21,0.0001017731129556588
2018-05-22,7.795937400504177e-05
2018-05-23,4.207741631753439e-05
2018-05-24,1.2068218736890351e-05
2018-05-25,0.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,0.0
2018-05-29,0.0
2018-05-30,0.0
2018-05-31,0.0
2018-06-01,0.0
2018-06-02,0.0
2018-06-03,0.0
2018-06-04,0.0
2018-06-05,0.0
2018-06-06,0.0
2018-06-07,0.0
2018-06-08,0.0
2018-06-09,0.0
2018-06-10,0.0
2018-06-11,0.0
2018-06-12,0.0
2018-06-13,0.0
2018-06-14,0.0
2018-06-15,0.0
2018-06-16,0.0
2018-06-17,0.0
2018-06-18,0.0
2018-06-19,0.0
2018-06-20,0.0
2018-06-21,0.0
2018-06-22,0.0
2018-06-23,0.0
2018-06-24,0.0
2018-06-25,0.0
2018-06-26,0.0
2018-06-27,0.0
2018-06-28,0.0
2018-06-29,0.0
2018-06-30,0.0
2018-07-01,0.0
2018-07-02,0.0
2018-07-03,0.0
2018-07-04,0.0
2018-07-05,0.0
2018-07-06,0.0
2018-07-07,0.0
2018-07-08,0.0
2018-07-09,0.0
2018-07-10,0.0
2018-07-11,0.0
2018-07-12,0.0
2018-07-13,0.0
2018-07-14,0.0
2018-07-15,0.0
2018-07-16,0.0
2018-07-17,0.0
2018-07-18,0.0
2018-07-19,0.0
2018-07-20,0.0
2018-07-21,0.0
2018-07-22,0.0
2018-07-23,0.0
2018-07-24,0.0
2018-07-25,0.0
2018-07-26,0.0
2018-07-27,0.0
2018-07-28,0.0
2018-07-29,0.0
2018-07-30,0.0
2018-07-31,0.0
2018-08-01,0.0
2018-08-02,0.0
2018-08-03,0.0
2018-08-04,0.0
2018-08-05,0.0
2018-08-06,0.0
2018-08-07,0.0
2018-08-08,0.0
2018-08-09,0.0
2018-08-10,0.0
2018-08-11,0.0
2018-08-12,0.0
2018-08-13,0.0
2018-08-14,0.0
2018-08-15,0.0
2018-08-16,0.0
2018-08-17,0.0
2018-08-18,0.0
2018-08-19,0.0
2018-08-20,0.0
2018-08-21,0.0
2018-08-22,0.0
2018-08-23,0.0
2018-08-24,0.0
2018-08-25,0.0
2018-08-26,0.0
2018-08-27,0.0
2018-08-28,0.0
2018-08-29,0.0
2018-08-30,0.0
2018-08-31,0.0
2018-09-01,0.0
2018-09-02,0.0
2018-09-03,0.0
2018-09-04,0.0
2018-09-05,0.0
2018-09-06,0.0
2018-09-07,0.0
2018-09-08,0.0
