dt64,lic_result
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-01,0.057694413375561616
2017-04-02,0.10768189682981467
2017-04-03,0.14996245036275918
2017-04-04,0.17421833812155216
2017-04-05,0.18574287932543085
2017-04-06,0.18052126746236197
2017-04-07,0.1688712383851886
2017-04-08,0.15212508531824115
2017-04-09,0.1342976147735527
2017-04-10,0.12029671893095535
2017-04-11,0.11120371526819016
2017-04-12,0.10179450485203739
2017-04-13,0.10039946769105972
2017-04-14,0.1017945048520374
2017-04-15,0.11120371526819013
2017-04-16,0.11417861696280192
2017-04-17,0.11594330886909238
2017-04-18,0.11612813624174874
2017-04-19,0.11594330886909238
2017-04-20,0.11557365412377962
2017-04-21,0.11278698423910989
2017-04-22,0.1099969099171545
2017-04-23,0.09396856340680437
2017-04-24,0.07842025227137152
2017-04-25,0.051098043272813205
2017-04-26,0.036226962741760675
2017-04-27,0.015914174138832476
2017-04-28,0.007563515208971777
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,0.00012848924003708135
2017-06-06,0.0002869530743763241
2017-06-07,0.00044541690871556684
2017-06-08,0.00047539150301772825
2017-06-09,0.0006652055494331908
2017-06-10,0.001240970081305347
2017-06-11,0.0024437093874317938
2017-06-12,0.004399496154253193
2017-06-13,0.007302943119642964
2017-06-14,0.011378637615776685
2017-06-15,0.016851166974829943
2017-06-16,0.020990085649858135
2017-06-17,0.023329782019888085
2017-06-18,0.023329782019888085
2017-06-19,0.023329782019888085
2017-06-20,0.023329782019888085
2017-06-21,0.023329782019888085
2017-06-22,0.023329782019888085
2017-06-23,0.023329782019888085
2017-06-24,0.023329782019888085
2017-06-25,0.023329782019888085
2017-06-26,0.021591717222882334
2017-06-27,0.018408203653059767
2017-06-28,0.014042160108567037
2017-06-29,0.010464872958514261
2017-06-30,0.007587250524774591
2017-07-01,0.005320201129221182
2017-07-02,0.003574633093727186
2017-07-03,0.0022614547401657564
2017-07-04,0.0012915743904100458
2017-07-05,0.0005759003663332069
2017-07-06,3.0034533723039052e-05
2017-07-07,0.0
2017-07-08,0.0
2017-07-09,0.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-15,0.0
2017-07-16,0.0
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,0.0
2017-08-01,0.0
2017-08-02,0.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,2.129104164169692e-07
2017-08-24,5.711487932732639e-07
2017-08-25,1.0339215008825514e-06
2017-08-26,1.9545094876173908e-06
2017-08-27,3.5778263468209138e-06
2017-08-28,6.091374994977191e-06
2017-08-29,9.045051503526684e-06
2017-08-30,1.2346990320766154e-05
2017-08-31,1.5905325894992363e-05
2017-09-01,1.9628192674502064e-05
2017-09-02,2.3423725107592018e-05
2017-09-03,2.720005764255898e-05
2017-09-04,3.0865324727699716e-05
2017-09-05,3.3261607017662215e-05
2017-09-06,3.442592632905522e-05
2017-09-07,3.442592632905522e-05
2017-09-08,3.442592632905522e-05
2017-09-09,3.442592632905522e-05
2017-09-10,3.442592632905522e-05
2017-09-11,3.442592632905522e-05
2017-09-12,3.442592632905522e-05
2017-09-13,3.442592632905522e-05
2017-09-14,3.442592632905522e-05
2017-09-15,3.549198012270399e-05
2017-09-16,3.507716125200304e-05
2017-09-17,3.361734055044738e-05
2017-09-18,3.0100558847088516e-05
2017-09-19,2.556301304451302e-05
2017-09-20,1.9072482734100922e-05
2017-09-21,1.0047901867459283e-05
2017-09-22,3.524957764383992e-06
