dt64,lic_result
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-01,
2017-04-02,
2017-04-03,
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,2.568667387948631e-22
2017-05-13,5.137334775897262e-22
2017-05-14,7.706002163845893e-22
2017-05-15,7.706002163845893e-22
2017-05-16,7.706002163845893e-22
2017-05-17,9.88528318411669e-22
2017-05-18,1.2259257388226406e-21
2017-05-19,1.4633231592336119e-21
2017-05-20,1.4827924776175036e-21
2017-05-21,1.4827924776175036e-21
2017-05-22,1.4633231592336119e-21
2017-05-23,9.690590000277774e-22
2017-05-24,4.7479484082194285e-22
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,0.0
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-24,0.0
2017-06-25,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-07-01,0.0
2017-07-02,0.0
2017-07-03,0.0
2017-07-04,1.1282734724653633e-15
2017-07-05,2.6795835146415367e-15
2017-07-06,2.428419789110064e-14
2017-07-07,7.429130110314797e-14
2017-07-08,1.6023306763083356e-13
2017-07-09,2.6820695693258176e-13
2017-07-10,3.9336402790331944e-13
2017-07-11,5.324066494801492e-13
2017-07-12,6.820371906001743e-13
2017-07-13,8.389580202004977e-13
2017-07-14,9.99871507218222e-13
2017-07-15,1.1614800205904508e-12
2017-07-16,1.3204859292542869e-12
2017-07-17,1.4735916021468325e-12
2017-07-18,1.5882940638647816e-12
2017-07-19,1.6515948978337822e-12
2017-07-20,1.6665600596652302e-12
2017-07-21,1.6665600596652302e-12
2017-07-22,1.6665600596652302e-12
2017-07-23,1.6665600596652302e-12
2017-07-24,1.6665600596652302e-12
2017-07-25,1.6665600596652302e-12
2017-07-26,1.6665600596652302e-12
2017-07-27,1.6665600596652302e-12
2017-07-28,1.6665600596652302e-12
2017-07-29,1.5923658568307115e-12
2017-07-30,1.4266217609443922e-12
2017-07-31,1.1508728714346902e-12
2017-08-01,8.19759280210242e-13
2017-08-02,4.299833562081513e-13
2017-08-03,1.502122258294437e-13
2017-08-04,0.0
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.0
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,0.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,0.0
2017-09-08,0.0
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,0.0
2017-09-12,0.0
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,0.0
2017-09-16,0.0
2017-09-17,0.0
2017-09-18,0.0
2017-09-19,0.0
2017-09-20,0.0
2017-09-21,0.0
2017-09-22,0.0
2017-09-23,1.0878470989579602e-08
2017-09-24,2.495359224062079e-08
2017-09-25,1.5267332225245598e-07
2017-09-26,2.6951458127471156e-07
2017-09-27,3.8315919003550563e-07
2017-09-28,3.8315919003550563e-07
2017-09-29,3.8315919003550563e-07
2017-09-30,3.8315919003550563e-07
2017-10-01,3.8315919003550563e-07
2017-10-02,2.554394600236704e-07
2017-10-03,1.277197300118352e-07
2017-10-04,0.0
