dt64,lic_result
2017-03-28,
2017-03-29,0.04303370587145374
2017-03-30,0.031740092700062235
2017-03-31,0.021383858700121425
2017-04-01,0.013651101872286046
2017-04-02,0.007604443045105405
2017-04-03,0.0046921372795246654
2017-04-04,0.003228086574889081
2017-04-05,0.003110196484824092
2017-04-06,0.0028902119483845425
2017-04-07,0.0025718238264190543
2017-04-08,0.0023607953653916034
2017-04-09,0.0020771472382366857
2017-04-10,0.0016561190221324933
2017-04-11,0.00105324102220011
2017-04-12,0.000509763760828341
2017-04-13,0.00020733538849526103
2017-04-14,8.471189663033997e-05
2017-04-15,7.55102346143296e-05
2017-04-16,6.630596752059307e-05
2017-04-17,5.885731015840251e-05
2017-04-18,5.0532150469302034e-05
2017-04-19,3.4906887848843504e-05
2017-04-20,1.614426248773094e-05
2017-04-21,5.414898109506147e-06
2017-04-22,1.9882417403655672e-06
2017-04-23,1.9882417403655672e-06
2017-04-24,2.3973598526168074e-06
2017-04-25,2.8064779648680477e-06
2017-04-26,3.215596077119288e-06
2017-04-27,3.215596077119288e-06
2017-04-28,3.215596077119288e-06
2017-04-29,3.215596077119288e-06
2017-04-30,3.215596077119288e-06
2017-05-01,3.215596077119288e-06
2017-05-02,3.113416945133506e-06
2017-05-03,2.7504400759991124e-06
2017-05-04,2.341321963747872e-06
2017-05-05,1.8053892842279908e-06
2017-05-06,1.2806641824818965e-06
2017-05-07,6.191400066102721e-07
2017-05-08,1.8660952999307126e-07
2017-05-09,4.208504316154161e-09
2017-05-10,4.7477958816136155e-09
2017-05-11,4.976946233610121e-09
2017-05-12,4.4376546681506675e-09
2017-05-13,3.609387530732559e-09
2017-05-14,2.551970041317944e-09
2017-05-15,1.3288991244197086e-09
2017-05-16,3.948037794801272e-10
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,4.377211573894461e-12
2017-05-24,1.2023780760667191e-11
2017-05-25,2.1944187688837053e-11
2017-05-26,2.887803500256351e-11
2017-05-27,3.2542524703411705e-11
2017-05-28,3.3929358744890013e-11
2017-05-29,3.290679055393457e-11
2017-05-30,3.151613859448352e-11
2017-05-31,2.915712271424733e-11
2017-06-01,2.6515201204354584e-11
2017-06-02,2.3993572513607477e-11
2017-06-03,2.244412566161824e-11
2017-06-04,2.2196334712268267e-11
2017-06-05,2.2196334712268267e-11
2017-06-06,2.2196334712268267e-11
2017-06-07,2.0550040705078356e-11
2017-06-08,1.7528474041550062e-11
2017-06-09,1.4506907378021766e-11
2017-06-10,1.3131634721683382e-11
2017-06-11,1.2876100305166222e-11
2017-06-12,1.111757983966295e-11
2017-06-13,8.096228438578055e-12
2017-06-14,4.420069721368237e-12
2017-06-15,1.823352195974089e-12
2017-06-16,4.726536237879993e-13
2017-06-17,3.229678424399203e-14
2017-06-18,1.5484801870424965e-14
2017-06-19,1.5484801870424965e-14
2017-06-20,1.4878311253404675e-14
2017-06-21,1.1842642978901965e-14
2017-06-22,6.6810423554269755e-15
2017-06-23,2.1259323489722777e-15
2017-06-24,0.0
2017-06-25,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,2.1259323489722777e-15
2017-07-01,5.0866177532658536e-15
2017-07-02,9.641727759720551e-15
2017-07-03,1.2677396034223263e-14
2017-07-04,1.6397109947476408e-14
2017-07-05,1.9011500743703564e-14
2017-07-06,2.1440678401185988e-14
2017-07-07,2.2654945710987074e-14
2017-07-08,2.3380111535653025e-14
2017-07-09,2.2958834057377472e-14
2017-07-10,2.2233668232711515e-14
2017-07-11,2.1508502408045557e-14
2017-07-12,2.1508502408045557e-14
2017-07-13,2.1508502408045557e-14
2017-07-14,2.1508502408045557e-14
2017-07-15,2.1508502408045557e-14
2017-07-16,2.1508502408045557e-14
2017-07-17,2.1508502408045557e-14
2017-07-18,1.4339001605363707e-14
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,0.0
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,0.0
2017-08-01,0.0
2017-08-02,0.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.0
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,6.429181080413112e-10
2017-09-05,2.0630778309687025e-09
2017-09-06,3.483237553896093e-09
2017-09-07,4.260479168782173e-09
2017-09-08,4.260479168782173e-09
2017-09-09,4.260479168782173e-09
2017-09-10,4.260479168782173e-09
2017-09-11,4.260479168782173e-09
2017-09-12,4.260479168782173e-09
2017-09-13,4.260479168782173e-09
2017-09-14,4.932096703006017e-09
2017-09-15,5.777804590686414e-09
2017-09-16,6.62351247836681e-09
2017-09-17,6.62351247836681e-09
2017-09-18,4.357644867759023e-09
2017-09-19,2.091777257151235e-09
2017-09-20,0.0
2017-09-21,0.0
2017-09-22,0.0
2017-09-23,0.0
2017-09-24,0.0
2017-09-25,0.0
2017-09-26,0.0
2017-09-27,0.0
2017-09-28,0.0
2017-09-29,0.0
2017-09-30,0.0
2017-10-01,0.0
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-07,3.515759016555653e-06
2017-10-08,1.1366912714521259e-05
2017-10-09,2.406804592345872e-05
2017-10-10,3.332125459399447e-05
2017-10-11,3.823906858312026e-05
2017-10-12,3.830690306127419e-05
2017-10-13,3.830690306127419e-05
2017-10-14,3.830690306127419e-05
2017-10-15,3.830690306127419e-05
2017-10-16,3.830690306127419e-05
2017-10-17,3.830690306127419e-05
2017-10-18,3.830690306127419e-05
2017-10-19,3.830690306127419e-05
2017-10-20,3.830690306127419e-05
2017-10-21,2.5537935374182795e-05
2017-10-22,1.2768967687091398e-05
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,0.0
2017-10-26,0.0
2017-10-27,0.0
2017-10-28,0.0
2017-10-29,0.0
2017-10-30,0.0
2017-10-31,0.0
2017-11-01,0.0
2017-11-02,0.0
2017-11-03,0.0010072890197550563
2017-11-04,0.003766535068516047
2017-11-05,0.008995333554345153
2017-11-06,0.016376918264360794
2017-11-07,0.025830071394996875
2017-11-08,0.03727357514268729
2017-11-09,0.05062621170386595
2017-11-10,0.06580676327496675
2017-11-11,0.08273401205242359
2017-11-12,0.10132674023267037
2017-11-13,0.12150373001214103
2017-11-14,0.14318376358726945
2017-11-15,0.1662856231544895
2017-11-16,0.19072809091023504
2017-11-17,0.21642994905094015
2017-11-18,0.24330997977303856
2017-11-19,0.2712869652729642
2017-11-20,0.300279687747151
2017-11-21,0.33020692939203294
2017-11-22,0.3609874724040438
2017-11-23,0.3925400989796175
2017-11-24,0.42478359131518806
2017-11-25,0.45763673160718915
2017-11-26,0.4910183020520549
2017-11-27,0.5248470848462191
2017-11-28,0.5590418621861158
2017-11-29,0.5935214162681787
2017-11-30,0.6282045292888417
2017-12-01,0.6630099834445388
2017-12-02,0.6978565609317039
2017-12-03,0.7326630439467708
2017-12-04,0.7673482146861735
2017-12-05,0.801830855346346
2017-12-06,0.836029748123722
2017-12-07,0.8698636752147357
2017-12-08,0.9032514188158207
2017-12-09,0.936111761123411
2017-12-10,0.9683634843339405
2017-12-11,0.9999253706438429
2017-12-12,1.0307162022495524
2017-12-13,1.0606547613475026
2017-12-14,1.0896598301341278
2017-12-15,1.1176501908058618
2017-12-16,1.1445446255591385
2017-12-17,1.1702619165903914
2017-12-18,1.194720846096055
2017-12-19,1.2178401962725631
2017-12-20,1.239538749316349
2017-12-21,1.259735287423847
2017-12-22,1.278348592791491
2017-12-23,1.295297447615715
2017-12-24,1.3105006340929528
2017-12-25,1.3238769344196388
2017-12-26,1.335345130792206
2017-12-27,1.3433473526782882
2017-12-28,1.3482020933264236
2017-12-29,1.3506805625446974
2017-12-30,1.3532493225170086
2017-12-31,1.3551338074026813
2018-01-01,1.3568950241660158
2018-01-02,1.3582735432343238
2018-01-03,1.359959544461355
2018-01-04,1.3612219302184532
2018-01-05,1.367321944703048
2018-01-06,1.3855751757309536
2018-01-07,1.420702081390398
2018-01-08,1.4717358922649533
2018-01-09,1.5357740275684908
2018-01-10,1.6118454017918051
2018-01-11,1.6989789294256907
2018-01-12,1.7962035249609416
2018-01-13,1.9025481028883524
2018-01-14,2.0170415776987167
2018-01-15,2.13871286388283
2018-01-16,2.266590875931486
2018-01-17,2.3997045283354796
2018-01-18,2.537082735585604
2018-01-19,2.677754412172654
2018-01-20,2.820748472587424
2018-01-21,2.965093831320708
2018-01-22,3.1098194028633004
2018-01-23,3.2539541017059963
2018-01-24,3.3965268423395893
2018-01-25,3.5365665392548737
2018-01-26,3.6731021069426446
2018-01-27,3.8051624598936953
2018-01-28,3.9317765125988196
2018-01-29,4.051973179548813
2018-01-30,4.164781375234471
2018-01-31,4.269230014146584
2018-02-01,4.3643480107759505
2018-02-02,4.449164279613362
2018-02-03,4.5227077351496145
2018-02-04,4.567871202683485
2018-02-05,4.588412286648692
2018-02-06,4.588412286648692
2018-02-07,4.588412286648692
2018-02-08,4.588412286648692
2018-02-09,4.588412286648692
2018-02-10,4.588412286648692
2018-02-11,4.588412286648692
2018-02-12,4.588412286648692
2018-02-13,4.588412286648692
2018-02-14,4.572555412601884
2018-02-15,4.538712070150045
2018-02-16,4.484848602494495
2018-02-17,4.4248841644428945
2018-02-18,4.359106568673861
2018-02-19,4.287803627866008
2018-02-20,4.211263154697954
2018-02-21,4.129772961848313
2018-02-22,4.0436208619956995
