dt64,lic_result
2017-03-29,
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,2.1383028328022474e-17
2017-04-13,6.414908498406742e-17
2017-04-14,1.3156502151824943e-16
2017-04-15,2.0224780960254602e-16
2017-04-16,3.064900727016557e-16
2017-04-17,4.457767433383579e-16
2017-04-18,6.239686460718787e-16
2017-04-19,8.137430224830785e-16
2017-04-20,1.0124269940309541e-15
2017-04-21,1.2173476821745031e-15
2017-04-22,1.4258322083727227e-15
2017-04-23,1.6352076940846094e-15
2017-04-24,1.8428012607691615e-15
2017-04-25,2.0459400298853752e-15
2017-04-26,2.2419511228922483e-15
2017-04-27,2.428161661248778e-15
2017-04-28,2.6018987664139604e-15
2017-04-29,2.7132687056224107e-15
2017-04-30,2.7664292899379115e-15
2017-05-01,2.7664292899379115e-15
2017-05-02,2.7664292899379115e-15
2017-05-03,2.7664292899379115e-15
2017-05-04,2.7664292899379115e-15
2017-05-05,2.7664292899379115e-15
2017-05-06,2.7664292899379115e-15
2017-05-07,2.7664292899379115e-15
2017-05-08,2.7664292899379115e-15
2017-05-09,2.7631624383877975e-15
2017-05-10,2.682976082157714e-15
2017-05-11,2.5092389769925312e-15
2017-05-12,2.227695770673568e-15
2017-05-13,1.8935859530482165e-15
2017-05-14,1.504236645575473e-15
2017-05-15,1.056974969714335e-15
2017-05-16,5.491280469238002e-16
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,0.0
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-24,0.0
2017-06-25,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-07-01,0.0
2017-07-02,0.0
2017-07-03,0.0
2017-07-04,0.0
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-08,0.0
2017-07-09,0.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-15,0.0
2017-07-16,0.0
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-22,0.0
2017-07-23,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,1.3560108074558222e-14
2017-07-29,4.110277672923714e-14
2017-07-30,6.991280290060352e-14
2017-07-31,9.666645677032081e-14
2017-08-01,1.1572885439133102e-13
2017-08-02,1.3715829636722606e-13
2017-08-03,1.5186357453200544e-13
2017-08-04,1.6027754836537115e-13
2017-08-05,1.6505712032716457e-13
2017-08-06,1.6505712032716457e-13
2017-08-07,1.6505712032716457e-13
2017-08-08,1.6505712032716457e-13
2017-08-09,1.6505712032716457e-13
2017-08-10,1.6505712032716457e-13
2017-08-11,2.9083820865794844e-13
2017-08-12,7.569860357396815e-13
2017-08-13,1.6481630556468208e-12
2017-08-14,2.4135589872231763e-12
2017-08-15,2.8385881800485822e-12
2017-08-16,2.8385881800485822e-12
2017-08-17,2.8385881800485822e-12
2017-08-18,1.892392120032388e-12
2017-08-19,9.46196060016194e-13
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.0
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,0.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,0.0
2017-09-08,0.0
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,0.0
2017-09-12,0.0
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,0.0
2017-09-16,0.0
2017-09-17,0.0
2017-09-18,0.0
2017-09-19,0.0
2017-09-20,0.0
2017-09-21,0.0
2017-09-22,0.0
2017-09-23,0.0
2017-09-24,0.0
2017-09-25,0.0
2017-09-26,0.0
2017-09-27,0.0
2017-09-28,1.8670287009969607e-10
2017-09-29,5.653766287364975e-10
2017-09-30,9.62488451904232e-10
2017-10-01,1.334164167993516e-09
2017-10-02,1.6147094387509013e-09
2017-10-03,1.8768166449773534e-09
2017-10-04,1.9776570881825597e-09
2017-10-05,2.026721332122268e-09
2017-10-06,2.1713580008297734e-09
2017-10-07,2.322992712084796e-09
2017-10-08,2.4632653474634888e-09
2017-10-09,3.339261265789879e-09
2017-10-10,6.456876207371794e-09
2017-10-11,1.0674319879640246e-08
2017-10-12,1.4060467844193203e-08
2017-10-13,1.5197998742943117e-08
2017-10-14,1.6200620766460608e-08
2017-10-15,1.844923783226365e-08
2017-10-16,2.0806319041602325e-08
2017-10-17,5.029560628245663e-08
2017-10-18,1.4217155877290938e-07
