dt64,lic_result
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-01,
2017-04-02,
2017-04-03,
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,2.7221432248140586e-09
2017-05-13,5.444286449628117e-09
2017-05-14,8.166429674442175e-09
2017-05-15,8.166429674442175e-09
2017-05-16,8.166429674442175e-09
2017-05-17,1.0475921005288884e-08
2017-05-18,1.2991738283119266e-08
2017-05-19,1.5507555560949653e-08
2017-05-20,1.571388150793333e-08
2017-05-21,1.6868627173356682e-08
2017-05-22,5.154086808467005e-08
2017-05-23,1.5776340865465827e-07
2017-05-24,3.419314491710158e-07
2017-05-25,4.95150640265873e-07
2017-05-26,6.470855084485354e-07
2017-05-27,7.4015731457442e-07
2017-05-28,8.477648469104681e-07
2017-05-29,1.4248947221467678e-06
2017-05-30,2.3746634746902096e-06
2017-05-31,1.806022697760255e-05
2017-06-01,6.692978112977926e-05
2017-06-02,0.00016435888787876473
2017-06-03,0.00030870734499938347
2017-06-04,0.0004912152646290996
2017-06-05,0.000704356160210731
2017-06-06,0.0009406035451870956
2017-06-07,0.001192430933001011
2017-06-08,0.0014523118370952954
2017-06-09,0.0017127197709127667
2017-06-10,0.0019661282478962423
2017-06-11,0.0022050107814885404
2017-06-12,0.002421840885132479
2017-06-13,0.002609092072270876
2017-06-14,0.0027592378563465487
2017-06-15,0.0028548835055763437
2017-06-16,0.0028996442838301155
2017-06-17,0.002908397487647834
2017-06-18,0.002908397487647834
2017-06-19,0.002908397487647834
2017-06-20,0.002908397487647834
2017-06-21,0.002908397487647834
2017-06-22,0.002908397487647834
2017-06-23,0.002908397487647834
2017-06-24,0.002908397487647834
2017-06-25,0.002908397487647834
2017-06-26,0.002612647825374985
2017-06-27,0.0019618488216697357
2017-06-28,0.001291298210368879
2017-06-29,0.0009164972613408714
2017-06-30,0.0008967456537452645
2017-07-01,0.0008967456537452645
2017-07-02,0.0008967456537452645
2017-07-03,0.0008967456537452645
2017-07-04,0.0008967456537452645
2017-07-05,0.0008967456537452645
2017-07-06,0.0008967456537452645
2017-07-07,0.0008967456537452645
2017-07-08,0.0008967456537452645
2017-07-09,0.000975607928954513
2017-07-10,0.0011236391647694204
2017-07-11,0.0013315628970529785
2017-07-12,0.001511657236925512
2017-07-13,0.0016651727357867633
2017-07-14,0.0017892839157057493
2017-07-15,0.001862362212826512
2017-07-16,0.001892850390352898
2017-07-17,0.001892850390352898
2017-07-18,0.001892850390352898
2017-07-19,0.001892850390352898
2017-07-20,0.001892850390352898
2017-07-21,0.001892850390352898
2017-07-22,0.001892850390352898
2017-07-23,0.001892850390352898
2017-07-24,0.001892850390352898
2017-07-25,0.00186664168789442
2017-07-26,0.0018112005758391693
2017-07-27,0.0017239201975154297
2017-07-28,0.0016288192491765452
2017-07-29,0.0015271482822222585
2017-07-30,0.0014201578480523124
2017-07-31,0.0013090984980664484
2017-08-01,0.00119522078366441
2017-08-02,0.0010797752562459394
2017-08-03,0.0009640124672107788
2017-08-04,0.000849182967958671
2017-08-05,0.0007365373098893583
2017-08-06,0.0006273260444025835
2017-08-07,0.0005227997228980889
2017-08-08,0.00042420889677561706
2017-08-09,0.0003328041174349104
2017-08-10,0.00024983593627571143
2017-08-11,0.0001765549046977628
2017-08-12,0.00011421157410080694
2017-08-13,6.405649588458631e-05
2017-08-14,2.9636978298088276e-05
2017-08-15,1.191980269839631e-05
2017-08-16,6.461912692710973e-06
2017-08-17,5.623469416344059e-06
2017-08-18,4.903448846745071e-06
2017-08-19,3.6183752816748404e-06
2017-08-20,2.16006170879696e-06
2017-08-21,7.382930032788945e-07
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.0
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,0.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,0.0
2017-09-08,0.0
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,0.0
2017-09-12,0.0
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,0.0
