dt64,lic_result
2017-03-28,
2017-03-29,3.5174702478659184e-23
2017-03-30,6.644110468191181e-23
2017-03-31,7.816600550813154e-23
2017-04-01,6.644110468191181e-23
2017-04-02,3.5174702478659184e-23
2017-04-03,1.1724900826219728e-23
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,7.448132671787061e-21
2017-05-02,2.2783655194613688e-20
2017-05-03,3.8997692075945304e-20
2017-05-04,4.776359628548986e-20
2017-05-05,3.242807376266323e-20
2017-05-06,1.6214036881331616e-20
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,2.272713820212973e-18
2017-05-18,6.1476243037252376e-18
2017-05-19,1.024604050620873e-17
2017-05-20,3.554281435612394e-17
2017-05-21,8.74635793913481e-17
2017-05-22,1.3948918879684103e-16
2017-05-23,5.970861291712271e-16
2017-05-24,1.8829216718123424e-15
2017-05-25,4.3158713730434705e-15
2017-05-26,7.67787825557432e-15
2017-05-27,1.167185636327619e-14
2017-05-28,1.6056843765628352e-14
2017-05-29,1.9083731584244257e-14
2017-05-30,2.0622183387573806e-14
2017-05-31,2.0622183387573806e-14
2017-06-01,2.0622183387573806e-14
2017-06-02,2.0622183387573806e-14
2017-06-03,2.0622183387573806e-14
2017-06-04,2.0622183387573806e-14
2017-06-05,2.0622183387573806e-14
2017-06-06,2.1087028191724884e-14
2017-06-07,2.259517513959071e-14
2017-06-08,2.5439045652860305e-14
2017-06-09,2.7818071361978828e-14
2017-06-10,2.6774769218264072e-14
2017-06-11,2.1183206509494232e-14
2017-06-12,1.1465274867033371e-14
2017-06-13,4.126368933691027e-15
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,0.0
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-24,0.0
2017-06-25,1.3914300066739496e-14
2017-06-26,3.735333832235864e-14
2017-06-27,6.225556387059775e-14
2017-06-28,2.928992961415868e-13
2017-06-29,8.362826880341293e-13
2017-06-30,1.7646774357360766e-12
