dt64,lic_result
2017-03-28,
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,0.0
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-24,0.0
2017-06-25,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-07-01,0.0
2017-07-02,0.0
2017-07-03,0.0
2017-07-04,0.0
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-08,0.0
2017-07-09,0.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-15,0.0
2017-07-16,0.0
2017-07-17,5.927361319846287e-20
2017-07-18,1.8469940874656529e-19
2017-07-19,3.2044305802143284e-19
2017-07-20,4.366849810489673e-19
2017-07-21,4.978610099100909e-19
2017-07-22,1.2474458328223545e-18
2017-07-23,3.1807079455592713e-18
2017-07-24,6.601087996186425e-18
2017-07-25,1.1032335019115845e-17
2017-07-26,1.6097750224065393e-17
2017-07-27,2.1607236645162155e-17
2017-07-28,2.7370697316533226e-17
2017-07-29,3.319803527230568e-17
2017-07-30,3.732012845543652e-17
2017-07-31,3.947865376821288e-17
2017-08-01,3.971568443779195e-17
2017-08-02,3.971568443779195e-17
2017-08-03,3.971568443779195e-17
2017-08-04,3.971568443779195e-17
2017-08-05,3.971568443779195e-17
2017-08-06,3.971568443779195e-17
2017-08-07,3.971568443779195e-17
2017-08-08,3.971568443779195e-17
2017-08-09,3.971568443779195e-17
2017-08-10,3.936828186343084e-17
2017-08-11,3.584237666804629e-17
2017-08-12,2.792473953133741e-17
2017-08-13,1.5033580626434535e-17
2017-08-14,5.320924342555097e-18
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.0
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,0.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,0.0
2017-09-08,0.0
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,0.0
2017-09-12,0.0
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,0.0
2017-09-16,0.0
2017-09-17,0.0
2017-09-18,0.0
2017-09-19,0.0
2017-09-20,0.0
2017-09-21,0.0
2017-09-22,0.0
2017-09-23,0.0
2017-09-24,0.0
2017-09-25,0.0
2017-09-26,0.0
2017-09-27,0.0
2017-09-28,0.0
2017-09-29,2.2898318864018825e-11
2017-09-30,6.977232641367991e-11
2017-10-01,1.16646333963341e-10
2017-10-02,9.374801509932217e-11
2017-10-03,4.6874007549661086e-11
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,0.0
2017-10-10,0.0
2017-10-11,0.0
2017-10-12,0.0
2017-10-13,0.0
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,0.0
2017-10-20,0.0
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,0.0
2017-10-26,0.0
2017-10-27,1.8809699433757045e-05
2017-10-28,0.0004944490296563427
2017-10-29,0.0013114832891242068
2017-10-30,0.0021544559828174164
2017-10-31,0.009936334657861314
2017-11-01,0.035776261884232254
2017-11-02,0.09012551950529395
2017-11-03,0.1758004646628147
2017-11-04,0.29197744368108164
2017-11-05,0.4386945852775084
2017-11-06,0.6159900181695086
2017-11-07,0.8239018710744958
2017-11-08,1.0624682727098833
2017-11-09,1.3317273517930854
2017-11-10,1.6317172370415154
2017-11-11,1.962476057172587
2017-11-12,2.324041940903713
