dt64,lic_result
2017-03-29,
2017-03-30,8.209278825840306e-20
2017-03-31,9.442174180636835e-20
2017-04-01,1.0013515930420594e-19
2017-04-02,9.50231541745618e-20
2017-04-03,8.570126246756366e-20
2017-04-04,7.517654602417865e-20
2017-04-05,6.765889142176078e-20
2017-04-06,6.044194300343963e-20
2017-04-07,5.051863892824805e-20
2017-04-08,3.5784035907509034e-20
2017-04-09,1.8944489598093014e-20
2017-04-10,6.314829866031006e-21
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,6.314829866031006e-21
2017-04-15,1.8944489598093014e-20
2017-04-16,3.9993922484863036e-20
2017-04-17,5.77355873465692e-20
2017-04-18,6.916242234224435e-20
2017-04-19,6.074264918753634e-20
2017-04-20,3.668615445979918e-20
2017-04-21,1.2629659732062012e-20
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,2.946920604147807e-20
2017-05-02,9.201609233359472e-20
2017-05-03,1.6358416414861274e-19
2017-05-04,2.2733387517711623e-19
2017-05-05,2.3635506070001757e-19
2017-05-06,1.6478698888499958e-19
2017-05-07,7.156807181501802e-20
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,3.9151945169392265e-19
2017-05-11,1.2334967671647238e-18
2017-05-12,2.2228201128429145e-18
2017-05-13,3.0972736961961604e-18
2017-05-14,3.780478146463896e-18
2017-05-15,4.369260854925264e-18
2017-05-16,4.681393874017653e-18
2017-05-17,4.734318162418676e-18
2017-05-18,4.734318162418676e-18
2017-05-19,4.734318162418676e-18
2017-05-20,4.734318162418676e-18
2017-05-21,4.734318162418676e-18
2017-05-22,4.681393874017653e-18
2017-05-23,4.0926111655562854e-18
2017-05-24,2.5145051114167273e-18
2017-05-25,9.893233456781907e-19
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,0.0
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,0.0
2017-06-20,0.0
