dt64,lic_result
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-01,
2017-04-02,
2017-04-03,
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,5.22421337169312e-18
2017-05-13,1.488069738309252e-17
2017-05-14,2.493315276048534e-17
2017-05-15,3.197753008603818e-17
2017-05-16,3.458963677188474e-17
2017-05-17,3.680577209173788e-17
2017-05-18,3.680577209173788e-17
2017-05-19,3.680577209173788e-17
2017-05-20,3.680577209173788e-17
2017-05-21,3.680577209173788e-17
2017-05-22,3.680577209173788e-17
2017-05-23,3.419366540589132e-17
2017-05-24,2.192507470864536e-17
2017-05-25,9.6564840113994e-18
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,0.0
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-24,0.0
2017-06-25,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-07-01,2.081250357365292e-12
2017-07-02,4.942826618569159e-12
2017-07-03,3.777771763541884e-11
2017-07-04,1.2070671867446497e-10
2017-07-05,2.735516532901966e-10
2017-07-06,4.848208614700191e-10
2017-07-07,7.491940561674789e-10
2017-07-08,1.064212526597327e-09
2017-07-09,1.427417561974314e-09
2017-07-10,1.8363504515131904e-09
2017-07-11,2.2885524844287066e-09
2017-07-12,2.7815649499356135e-09
2017-07-13,3.3129291372486624e-09
2017-07-14,3.880186335582603e-09
2017-07-15,4.480877834152186e-09
2017-07-16,5.1125449221721624e-09
2017-07-17,5.772728888857282e-09
2017-07-18,6.458971023422297e-09
2017-07-19,7.168812615081957e-09
2017-07-20,7.899794953051012e-09
2017-07-21,8.649459326544215e-09
2017-07-22,9.415347024776314e-09
2017-07-23,1.0194999336962064e-08
2017-07-24,1.0985957552316209e-08
2017-07-25,1.1785762960053502e-08
2017-07-26,1.2591956849388697e-08
2017-07-27,1.3402080509536543e-08
2017-07-28,1.421367522971179e-08
2017-07-29,1.5024282299129186e-08
2017-07-30,1.5831443007003487e-08
2017-07-31,1.663269864254944e-08
2017-08-01,1.7425590494981793e-08
2017-08-02,1.8207659853515307e-08
2017-08-03,1.897644800736472e-08
2017-08-04,1.972949624574479e-08
2017-08-05,2.0464345857870265e-08
2017-08-06,2.11785381329559e-08
2017-08-07,2.186961436021644e-08
2017-08-08,2.2535115828866635e-08
2017-08-09,2.317258382812124e-08
2017-08-10,2.3779559647195012e-08
2017-08-11,2.4353584575302684e-08
2017-08-12,2.4892199901659028e-08
2017-08-13,2.5392946915478775e-08
2017-08-14,2.585336690597668e-08
2017-08-15,2.6271001162367505e-08
2017-08-16,2.664339097386599e-08
2017-08-17,2.6876296176480288e-08
2017-08-18,2.698479825184117e-08
2017-08-19,2.698479825184117e-08
2017-08-20,2.698479825184117e-08
2017-08-21,2.698479825184117e-08
2017-08-22,2.698479825184117e-08
2017-08-23,2.698479825184117e-08
2017-08-24,2.698479825184117e-08
2017-08-25,2.698479825184117e-08
2017-08-26,2.698479825184117e-08
2017-08-27,2.6894454561043547e-08
2017-08-28,2.6657873842479975e-08
2017-08-29,2.6248500630855182e-08
2017-08-30,2.572930358140977e-08
2017-08-31,2.512798142529328e-08
2017-09-01,2.444207545172046e-08
2017-09-02,2.3669126949906067e-08
2017-09-03,2.280667720906485e-08
2017-09-04,2.1852267518411555e-08
2017-09-05,2.080343916716094e-08
2017-09-06,1.9657733444527745e-08
2017-09-07,1.841269163972673e-08
2017-09-08,1.7065855041972645e-08
2017-09-09,1.5614764940480238e-08
2017-09-10,1.4056962624464258e-08
2017-09-11,1.238998938313946e-08
2017-09-12,1.0611386505720592e-08
