dt64,OBJECT_ID,Name,coverage,date,ice_off_prob,ice_on_prob,lic,sensor,sensor_w,prob,w,outlier,unwanted,lic_w
2017-03-28 05:34:58,IW26001493,Chli Moossee,0.4107513488147651,2017-03-28T05:34:58,0.6734547913074493,1.0,0.0,Sentinel-1,0.02,34.69095826148987,0.2849871579516736,True,False,0.0
2017-03-28 10:16:06,IW26001493,Chli Moossee,0.5046694937441218,2017-03-28T10:16:06,0.9835432169674307,1.0,0.0,Landsat-8,1.0,96.70864339348614,48.805902102071464,False,False,0.0
2017-03-29 17:23:08,IW26001493,Chli Moossee,0.5825940177148453,2017-03-29T17:23:08,0.6995486915111542,1.0,0.0,Sentinel-1,0.02,39.909738302230835,0.4650234956688942,True,False,0.0
2017-04-02 05:43:07,IW26001493,Chli Moossee,0.4153511232001518,2017-04-02T05:43:07,0.730313241481781,1.0,0.0,Sentinel-1,0.02,46.0626482963562,0.3826434541493021,True,False,0.0
2017-04-03 05:34:00,IW26001493,Chli Moossee,0.3404730008999074,2017-04-03T05:34:00,0.7176544368267059,1.0,0.0,Sentinel-1,0.02,43.53088736534119,0.29642183706227154,True,False,0.0
2017-04-04 10:22:14,IW26001493,Chli Moossee,0.5046694937441218,2017-04-04T10:22:14,0.9825661025402056,1.0,0.0,Landsat-8,1.0,96.51322050804112,48.70727813340791,False,False,0.0
2017-04-04 17:22:47,IW26001493,Chli Moossee,0.4850186944072936,2017-04-04T17:22:47,0.7070320844650269,1.0,0.0,Sentinel-1,0.02,41.40641689300537,0.40165772523059146,True,False,0.0
2017-04-08 05:42:22,IW26001493,Chli Moossee,0.750779461077346,2017-04-08T05:42:22,0.7847084105014801,1.0,0.0,Sentinel-1,0.02,56.94168210029602,0.8550129080019562,False,False,0.0
2017-04-09 05:34:58,IW26001493,Chli Moossee,0.5586677055928513,2017-04-09T05:34:58,0.6795024573802948,1.0,0.0,Sentinel-1,0.02,35.90049147605896,0.40112890405171153,True,False,0.0
2017-04-10 17:23:08,IW26001493,Chli Moossee,0.4910813286075837,2017-04-10T17:23:08,0.6944469511508942,1.0,0.0,Sentinel-1,0.02,38.88939023017883,0.38195706845950017,True,False,0.0
2017-04-13 10:15:59,IW26001493,Chli Moossee,0.5046694937441218,2017-04-13T10:15:59,0.99800989096023,1.0,0.0,Landsat-8,1.0,99.60197819204599,50.26607991009291,False,False,0.0
2017-04-14 05:43:07,IW26001493,Chli Moossee,0.4214213015363802,2017-04-14T05:43:07,0.7479880154132843,1.0,0.0,Sentinel-1,0.02,49.59760308265686,0.41802972888356077,True,False,0.0
2017-04-15 05:34:01,IW26001493,Chli Moossee,0.4197548212948121,2017-04-15T05:34:01,0.6931309103965759,1.0,0.0,Sentinel-1,0.02,38.626182079315186,0.32427052312007637,True,False,0.0
2017-04-16 17:22:47,IW26001493,Chli Moossee,0.756397176729616,2017-04-16T17:22:47,0.6861492395401001,1.0,0.0,Sentinel-1,0.02,37.22984790802002,0.5632110369539869,True,False,0.0
2017-04-20 05:42:23,IW26001493,Chli Moossee,0.4327925126878199,2017-04-20T05:42:23,0.5198276042938232,1.0,0.0,Sentinel-1,0.02,3.9655208587646484,0.03432495473161427,True,False,0.0
2017-04-21 05:34:59,IW26001493,Chli Moossee,0.5307147296619459,2017-04-21T05:34:59,0.6095459163188934,1.0,0.0,Sentinel-1,0.02,21.909183263778687,0.23255052545900667,True,False,0.0
2017-04-22 17:23:09,IW26001493,Chli Moossee,0.4544038762714668,2017-04-22T17:23:09,0.7233134806156158,1.0,0.0,Sentinel-1,0.02,44.66269612312317,0.4058980448616356,True,False,0.0
2017-04-26 05:43:08,IW26001493,Chli Moossee,0.3873679539637815,2017-04-26T05:43:08,0.6634905338287354,1.0,0.0,Sentinel-1,0.02,32.69810676574707,0.2533239743267345,True,False,0.0
2017-04-27 05:34:01,IW26001493,Chli Moossee,0.3702809781793246,2017-04-27T05:34:01,0.5024550557136536,1.0,0.0,Sentinel-1,0.02,0.4910111427307129,0.0036362417245455266,True,False,0.0
2017-04-28 17:22:47,IW26001493,Chli Moossee,0.571614909076802,2017-04-28T17:22:47,1.0,0.5439869165420532,0.0,Sentinel-1,0.02,100.0,1.143229818153604,False,False,0.0
