dt64,OBJECT_ID,Name,coverage,date,ice_off_prob,ice_on_prob,lic,sensor,sensor_w,prob,w,outlier,unwanted,lic_w
2017-03-28 10:16:06,IW26000069,Lake Biel,0.9912542447604258,2017-03-28T10:16:06,0.9991864482915342,1.0,0.0,Landsat-8,1.0,99.83728965830684,98.96413715917282,False,False,0.0
2017-04-05 10:18:46,IW26000069,Lake Biel,0.3084872850052255,2017-04-05T10:18:46,0.9618708785921544,1.0,0.0,Landsat-7,1.0,92.37417571843088,28.496258671974367,False,False,0.0
2017-04-10 10:30:20,IW26000069,Lake Biel,0.9870656923523736,2017-04-10T10:30:20,0.9842007019688452,1.0,0.0,Sentinel-2,1.0,96.84014039376905,95.58758022527671,False,False,0.0
2017-04-13 10:15:59,IW26000069,Lake Biel,0.99081322236131,2017-04-13T10:15:59,0.9991597878723264,1.0,0.0,Landsat-8,1.0,99.83195757446528,98.91482357899353,False,False,0.0
2017-04-20 10:22:05,IW26000069,Lake Biel,0.983580688158063,2017-04-20T10:22:05,0.9621337423712708,1.0,0.0,Landsat-8,1.0,92.42674847425417,90.90916486851911,False,False,0.0
2017-04-20 10:34:54,IW26000069,Lake Biel,0.969748968960188,2017-04-20T10:34:54,0.8443971589558928,0.5701491210012746,5.468007891467959,Sentinel-2,1.0,65.88025091966766,63.88730540418619,False,False,349.3362901147137
2017-04-21 10:18:53,IW26000069,Lake Biel,0.7510559489399823,2017-04-21T10:18:53,0.9622938887177608,1.0,0.0,Landsat-7,1.0,92.45877774355216,69.44171505601449,False,False,0.0
2017-04-29 10:15:48,IW26000069,Lake Biel,0.992225072202382,2017-04-29T10:15:48,0.998369935014656,1.0,0.0,Landsat-8,1.0,99.6739870029312,98.89902895068269,False,False,0.0
2017-04-30 10:30:24,IW26000069,Lake Biel,0.9871589107758328,2017-04-30T10:30:24,0.9859792050672618,1.0,0.0,Sentinel-2,1.0,97.19584101345235,95.94774054678065,False,False,0.0
2017-05-10 10:30:25,IW26000069,Lake Biel,0.9874023549977606,2017-05-10T10:30:25,0.9897884898709224,1.0,0.0,Sentinel-2,1.0,97.95769797418447,96.72366166986912,False,False,0.0
2017-05-15 10:15:56,IW26000069,Lake Biel,0.8422450091579925,2017-05-15T10:15:56,0.9974951085647328,1.0,0.0,Landsat-8,1.0,99.49902171294656,83.80255445383197,False,False,0.0
2017-05-22 10:22:12,IW26000069,Lake Biel,0.9845933086369936,2017-05-22T10:22:12,0.9991550453435444,1.0,0.0,Landsat-8,1.0,99.83100906870888,98.29294352352979,False,False,0.0
2017-06-08 10:19:05,IW26000069,Lake Biel,0.7230635942948667,2017-06-08T10:19:05,0.9657708816230296,1.0,0.0,Landsat-7,1.0,93.15417632460591,67.35639355684732,False,False,0.0
2017-06-15 10:25:18,IW26000069,Lake Biel,0.6618889831540911,2017-06-15T10:25:18,0.9657708816230296,1.0,0.0,Landsat-7,1.0,93.15417632460591,61.657723044050314,False,False,0.0
2017-06-16 10:16:13,IW26000069,Lake Biel,0.9842948005110652,2017-06-16T10:16:13,0.998728181477684,1.0,0.0,Landsat-8,1.0,99.74563629553681,98.17911117936467,False,False,0.0
2017-06-19 10:30:21,IW26000069,Lake Biel,0.9723009408597768,2017-06-19T10:30:21,0.9700126920788472,1.0,0.0,Sentinel-2,1.0,94.00253841576944,91.39875654485994,False,False,0.0
2017-06-23 10:22:26,IW26000069,Lake Biel,0.7382133503538589,2017-06-23T10:22:26,0.9952066586031432,1.0,0.0,Landsat-8,1.0,99.04133172062863,73.11363331299319,False,False,0.0
2017-07-17 10:25:20,IW26000069,Lake Biel,0.616943603871178,2017-07-17T10:25:20,0.9657708816230296,1.0,0.0,Landsat-7,1.0,93.15417632460591,57.47087325735354,False,False,0.0
2017-07-18 10:16:21,IW26000069,Lake Biel,0.9888054049266142,2017-07-18T10:16:21,0.9992016743672916,1.0,0.0,Landsat-8,1.0,99.84033487345832,98.7226627525587,False,False,0.0
2017-07-19 10:30:23,IW26000069,Lake Biel,0.3777100045978123,2017-07-19T10:30:23,0.9923134410959012,1.0,0.0,Sentinel-2,1.0,98.46268821918025,37.19034241997953,False,False,0.0
2017-07-29 10:30:23,IW26000069,Lake Biel,0.9806225828761638,2017-07-29T10:30:23,0.987008010035712,1.0,0.0,Sentinel-2,1.0,97.4016020071424,95.51421053652012,False,False,0.0
2017-08-02 10:25:19,IW26000069,Lake Biel,0.6229731441927636,2017-08-02T10:25:19,0.9657708816230296,1.0,0.0,Landsat-7,1.0,93.15417632460591,58.03255011962685,False,False,0.0
2017-08-18 10:25:17,IW26000069,Lake Biel,0.6819640186816224,2017-08-18T10:25:17,0.9657708816230296,1.0,0.0,Landsat-7,1.0,93.15417632460591,63.527796443304695,False,False,0.0
2017-08-18 10:34:21,IW26000069,Lake Biel,0.9814398222370854,2017-08-18T10:34:21,0.9748732056160426,1.0,0.0,Sentinel-2,1.0,94.97464112320853,93.21189490099276,False,False,0.0
2017-08-19 10:16:34,IW26000069,Lake Biel,0.4535194529927687,2017-08-19T10:16:34,0.9981840981821312,1.0,0.0,Landsat-8,1.0,99.63681963642624,45.187235939451185,False,False,0.0
2017-09-03 10:25:18,IW26000069,Lake Biel,0.6753107767889952,2017-09-03T10:25:18,0.965777523815632,1.0,0.0,Landsat-7,1.0,93.1555047631264,62.90891628375783,False,False,0.0
2017-09-17 10:30:18,IW26000069,Lake Biel,0.7524261592686686,2017-09-17T10:30:18,0.9560634701371984,1.0,0.0,Sentinel-2,1.0,91.21269402743968,68.63081704361467,False,False,0.0
2017-09-20 10:16:39,IW26000069,Lake Biel,0.9355907227845476,2017-09-20T10:16:39,0.9965931596151756,1.0,0.0,Landsat-8,1.0,99.31863192303511,92.92159062684486,False,False,0.0
2017-09-27 10:22:53,IW26000069,Lake Biel,0.3280091192904615,2017-09-27T10:22:53,0.9937206005193884,1.0,0.0,Landsat-8,1.0,98.74412010387768,32.388971870384474,False,False,0.0
2017-09-27 10:30:18,IW26000069,Lake Biel,0.3384051368780434,2017-09-27T10:30:18,0.9790288932997572,1.0,0.0,Sentinel-2,1.0,95.80577865995143,32.42116764112839,False,False,0.0
2017-10-05 10:25:17,IW26000069,Lake Biel,0.6737802209632858,2017-10-05T10:25:17,0.965777523815632,1.0,0.0,Landsat-7,1.0,93.1555047631264,62.76633658324573,False,False,0.0
2017-10-07 10:32:41,IW26000069,Lake Biel,0.9286028510703206,2017-10-07T10:32:41,0.9924512382924522,1.0,0.0,Sentinel-2,1.0,98.49024765849043,91.45832477829619,False,False,0.0
2017-10-13 10:22:58,IW26000069,Lake Biel,0.9872539764592204,2017-10-13T10:22:58,0.9991479745419524,1.0,0.0,Landsat-8,1.0,99.82959490839048,98.55716454162165,False,False,0.0
2017-10-14 10:19:08,IW26000069,Lake Biel,0.7626029896593566,2017-10-14T10:19:08,0.965777523815632,1.0,0.0,Landsat-7,1.0,93.1555047631264,71.04066643558663,False,False,0.0
2017-10-17 10:30:24,IW26000069,Lake Biel,0.8519793576333019,2017-10-17T10:30:24,0.987498297276362,1.0,0.0,Sentinel-2,1.0,97.4996594552724,83.06769723216867,False,False,0.0
2017-10-30 10:19:08,IW26000069,Lake Biel,0.767181451432572,2017-10-30T10:19:08,0.9629272759113252,1.0,0.0,Landsat-7,1.0,92.58545518226504,71.02984388827544,False,False,0.0
2017-11-14 10:22:56,IW26000069,Lake Biel,0.9863844070398924,2017-11-14T10:22:56,0.989701993693857,1.0,0.0,Landsat-8,1.0,97.9403987387714,96.60688213519366,False,False,0.0
2017-11-15 10:19:06,IW26000069,Lake Biel,0.6912423925078682,2017-11-15T10:19:06,0.8728233172829812,1.0,0.0,Landsat-7,1.0,74.56466345659625,51.542256364281606,False,False,0.0
2017-11-22 10:25:14,IW26000069,Lake Biel,0.4835763833443412,2017-11-22T10:25:14,0.9598380270432983,0.732269823551178,0.0048957211397238,Landsat-7,1.0,91.96537718773054,44.472284493340915,False,False,0.21772390332586006
2017-11-23 10:16:42,IW26000069,Lake Biel,0.3522476648736337,2017-11-23T10:16:42,0.9726286438323476,1.0,0.0,Landsat-8,1.0,94.52572876646951,33.29646722846735,False,False,0.0
2017-12-01 10:19:00,IW26000069,Lake Biel,0.5867604596429589,2017-12-01T10:19:00,0.814975396457051,0.8220997649462075,64.38196371827361,Landsat-7,1.0,63.91244095857917,37.501293233759384,False,False,2414.406900364236
2017-12-31 10:34:24,IW26000069,Lake Biel,0.3833561233481355,2017-12-31T10:34:24,0.9908289880428314,1.0,0.0,Sentinel-2,1.0,98.16579760856628,37.63245961659764,False,False,0.0
2018-02-02 10:22:33,IW26000069,Lake Biel,0.865392731770456,2018-02-02T10:22:33,0.9765843105576042,0.5316121468907866,0.0489875898105813,Landsat-8,1.0,95.27326588385917,82.44879182792587,False,False,4.038967594444441
2018-02-26 10:24:05,IW26000069,Lake Biel,0.6738212422938875,2018-02-26T10:24:05,0.8479370116549739,0.6787822146418215,4.169724930970606,Landsat-7,1.0,68.17674438239678,45.93893859529941,False,False,191.55273756314776
2018-02-27 10:16:13,IW26000069,Lake Biel,0.8628850213541182,2018-02-27T10:16:13,0.8852128367435885,0.5920780267832255,9.54159962913474,Landsat-8,1.0,71.44861736070915,61.651941717017735,False,False,588.258144222533
2018-03-14 10:23:54,IW26000069,Lake Biel,0.3857866196728783,2018-03-14T10:23:54,0.9625804293984772,1.0,0.0,Landsat-7,1.0,92.51608587969544,35.69146803689341,False,False,0.0
2018-03-23 10:17:36,IW26000069,Lake Biel,0.7192445873237298,2018-03-23T10:17:36,0.8768116297921235,1.0,0.0,Landsat-7,1.0,75.36232595842469,54.20394503372357,False,False,0.0
2018-04-05 10:37:17,IW26000069,Lake Biel,0.6648800611910823,2018-04-05T10:37:17,0.9950006800832674,0.5228964158505067,0.0141658108155965,Sentinel-2,1.0,98.98676053726875,65.81432340312627,False,False,0.9323132542851719
2018-04-20 10:33:02,IW26000069,Lake Biel,0.981737333821098,2018-04-20T10:33:02,0.9767670428840804,1.0,0.0,Sentinel-2,1.0,95.3534085768161,93.61200110695725,False,False,0.0
2018-04-24 10:17:05,IW26000069,Lake Biel,0.7619808315100354,2018-04-24T10:17:05,0.965777523815632,1.0,0.0,Landsat-7,1.0,93.1555047631264,70.98270897914412,False,False,0.0
2018-04-30 10:35:20,IW26000069,Lake Biel,0.9334557392990724,2018-04-30T10:35:20,0.9940458197846056,1.0,0.0,Sentinel-2,1.0,98.80916395692113,92.23398119093108,False,False,0.0
2018-05-05 10:31:25,IW26000069,Lake Biel,0.8460940215664586,2018-05-05T10:31:25,0.9834426336152104,1.0,0.0,Sentinel-2,1.0,96.68852672304209,81.80758441443469,False,False,0.0
2018-05-15 10:30:24,IW26000069,Lake Biel,0.461214609114437,2018-05-15T10:30:24,0.9573800188406328,1.0,0.0,Sentinel-2,1.0,91.47600376812657,42.190069321267266,False,False,0.0
