dt64,OBJECT_ID,Name,coverage,date,ice_off_prob,ice_on_prob,lic,sensor,sensor_w,prob,w,outlier,unwanted,lic_w
2017-03-28 05:34:58,IW24000598,Lake Cadagno,0.9548303715434008,2017-03-28T05:34:58,0.5941925884914349,0.6136644686819364,56.84210526315789,Sentinel-1,0.02,21.052163025207143,0.4020248928630156,True,True,22.851941278529306
2017-03-28 10:16:06,IW24000598,Lake Cadagno,0.5458352571066477,2017-03-28T10:16:06,1.0,0.9942011828728148,100.0,Landsat-8,1.0,98.84023657456295,53.950485943158455,False,False,5395.048594315846
2017-03-28 10:16:30,IW24000598,Lake Cadagno,0.9391504636862412,2017-03-28T10:16:30,1.0,0.9940569710563272,100.0,Landsat-8,1.0,98.81139421126544,92.7987666909939,False,False,9279.87666909939
2017-03-29 10:12:57,IW24000598,Lake Cadagno,0.7382840016118293,2017-03-29T10:12:57,1.0,0.9359884613641092,100.0,Landsat-7,1.0,87.19769227282184,64.3766611824958,False,False,6437.666118249579
2017-03-29 17:23:08,IW24000598,Lake Cadagno,0.9289188509271284,2017-03-29T17:23:08,0.6211017691037286,0.5708572996407799,30.0,Sentinel-1,0.02,21.2056856529688,0.3939672229975534,True,True,11.8190166899266
2017-03-30 17:14:07,IW24000598,Lake Cadagno,0.9297549662346484,2017-03-30T17:14:07,0.6497099511627833,0.5786750458535694,11.052631578947368,Sentinel-1,0.02,28.37174495730035,0.5275754154958568,True,True,5.831096697585786
2017-04-03 05:34:00,IW24000598,Lake Cadagno,0.973468787677632,2017-04-03T05:34:00,0.5829522596620211,0.6265110320967175,40.0,Sentinel-1,0.02,20.075153727179938,0.39085071122479903,True,True,15.63402844899196
2017-04-04 17:22:22,IW24000598,Lake Cadagno,0.9326184811023592,2017-04-04T17:22:22,0.5754128198380514,0.6182910788366323,41.05263157894737,Sentinel-1,0.02,18.603094706441127,0.3469917985784893,True,True,14.244926467959035
2017-04-05 17:14:51,IW24000598,Lake Cadagno,0.9236140733153329,2017-04-05T17:14:51,0.5206057099440102,0.6257904307760833,91.57894736842104,Sentinel-1,0.02,23.38655401488701,0.4320030082899769,True,True,39.562380759187356
2017-04-06 10:10:15,IW24000598,Lake Cadagno,0.9007150570413784,2017-04-06T10:10:15,1.0,0.9816749379552951,100.0,Landsat-8,1.0,96.33498759105903,86.77037384316122,False,False,8677.037384316121
