dt64,OBJECT_ID,Name,coverage,date,ice_off_prob,ice_on_prob,lic,sensor,sensor_w,prob,w,outlier,unwanted,lic_w
2017-03-28 05:34:33,IW_SEEWEIDSEE,Seeweidsee,0.8237840806368997,2017-03-28T05:34:33,0.7368739510675062,1.0,0.0,Sentinel-1,0.02,47.37479021350124,0.7805319600279024,True,False,0.0
2017-03-28 10:16:06,IW_SEEWEIDSEE,Seeweidsee,0.3223328394102004,2017-03-28T10:16:06,0.998109196400037,1.0,0.0,Landsat-8,1.0,99.6218392800074,32.11139032239142,False,False,0.0
2017-03-30 17:14:32,IW_SEEWEIDSEE,Seeweidsee,0.8266306844096556,2017-03-30T17:14:32,0.7958008014291774,1.0,0.0,Sentinel-1,0.02,59.16016028583548,0.9780720757373023,False,False,0.0
2017-04-03 05:34:00,IW_SEEWEIDSEE,Seeweidsee,0.8168070214623329,2017-04-03T05:34:00,0.8231249913385436,1.0,0.0,Sentinel-1,0.02,64.6249982677087,1.0557230469411114,False,False,0.0
2017-04-05 17:15:16,IW_SEEWEIDSEE,Seeweidsee,0.8242488060019283,2017-04-05T17:15:16,0.760425521671271,1.0,0.0,Sentinel-1,0.02,52.0851043342542,0.8586217011598977,False,False,0.0
2017-04-09 05:34:33,IW_SEEWEIDSEE,Seeweidsee,0.8143582350173212,2017-04-09T05:34:33,0.7985130833587101,1.0,0.0,Sentinel-1,0.02,59.702616671742014,0.9723863507743105,False,False,0.0
2017-04-11 17:14:32,IW_SEEWEIDSEE,Seeweidsee,0.8180438164123962,2017-04-11T17:14:32,0.7790923120469606,1.0,0.0,Sentinel-1,0.02,55.818462409392126,0.9132389603130203,False,False,0.0
2017-04-15 05:34:01,IW_SEEWEIDSEE,Seeweidsee,0.83138573381692,2017-04-15T05:34:01,0.76359817395065,1.0,0.0,Sentinel-1,0.02,52.71963479013,0.8766070451310453,False,False,0.0
2017-04-17 17:15:16,IW_SEEWEIDSEE,Seeweidsee,0.8339175527778865,2017-04-17T17:15:16,0.6873149130681232,1.0,0.0,Sentinel-1,0.02,37.46298261362464,0.6248207756182874,True,False,0.0
2017-04-21 05:34:34,IW_SEEWEIDSEE,Seeweidsee,0.8307995604917164,2017-04-21T05:34:34,0.629865185741116,1.0,0.0,Sentinel-1,0.02,25.97303714822321,0.4315677569475773,True,False,0.0
2017-04-22 10:09:42,IW_SEEWEIDSEE,Seeweidsee,0.3223328448707776,2017-04-22T10:09:42,0.9989019589265808,1.0,0.0,Landsat-8,1.0,99.78039178531617,32.16249754648173,False,False,0.0
2017-04-23 17:14:33,IW_SEEWEIDSEE,Seeweidsee,0.821227490103987,2017-04-23T17:14:33,0.7087164733464979,1.0,0.0,Sentinel-1,0.02,41.74329466929958,0.6856148221988007,True,False,0.0
2017-04-27 05:34:01,IW_SEEWEIDSEE,Seeweidsee,0.8080677320888351,2017-04-27T05:34:01,0.6141718001420603,0.515411913394928,12.5,Sentinel-1,0.02,20.365362859733754,0.329131851584625,True,False,4.114148144807812
2017-04-29 10:15:48,IW_SEEWEIDSEE,Seeweidsee,0.4986021868838356,2017-04-29T10:15:48,0.944775049771829,1.0,0.0,Landsat-8,1.0,88.9550099543658,44.35316249752016,False,False,0.0
